,amplitude,c_0
29,(-0.26926945680687236+0j),(-1.1165652212045023+0.4336747028544279j)
30,(-0.1926189969924833+0j),(-0.675742640828602-0.5865271877487379j)
31,(0.022089869676451494+0j),(-0.8771498626969565-0.5771794881892773j)
32,(-0.32190267730325595+0j),(-0.31381618216759316+1.153468612357828j)
33,(0.7030438693706097+0j),(-0.16194181453625375+0.891245965748583j)
34,(-0.01587329637559831+0j),(-0.43168371764307306-0.9018759132159546j)
35,(0.6485623186802094+0j),(0.8161166326351266+0.012158277214972313j)
36,(-0.09725884890078607+0j),(0.4462638876699692-0.8607173112383391j)
37,(0.3372286148854403+0j),(0.6688549516700675+0.4894523894922661j)
38,(-0.6257846687433193+0j),(1.0159885372406436-0.1861346459467781j)
39,(0.11929655923073401+0j),(1.1026311669860231+0.133579688451874j)
40,(-0.15894667889227904+0j),(0.8597258315206414+0.12885792093132592j)
41,(-0.17321686509663592+0j),(-0.37970046492707765-0.8177513683808436j)
42,(-0.4685564546051572+0j),(0.14258475031318552-1.003860872764065j)
43,(0.0409157582256387+0j),(-0.7811196568009244-0.24583634004226185j)
44,(0.3261684907387823+0j),(0.45969836478450454-0.8706647012738772j)
45,(-0.27103180227413026+0j),(1.0078634580966865-0.01183850898654859j)
46,(-0.3982860788818834+0j),(-0.9583592271244284-0.6114427629768464j)
47,(-0.21519808162421533+0j),(0.9888756939972477+0.7168132594223209j)
48,(0.3950322525819192+0j),(-0.9362996008422749+0.13427521342762383j)
49,(0.3268584411416205+0j),(0.7824449569916374+0.7035991713675352j)
50,(0.0883677154055181+0j),(-0.58546821972512-0.8302449101113525j)
51,(-0.40465181993701504+0j),(-0.33798430291067283+0.7610225235163273j)
52,(-0.048471783625601894+0j),(-0.8781329322046606-0.04418354350255371j)
53,(0.16950813222027505+0j),(1.237876335905455-0.4170521992891836j)
54,(-0.6028491090416745+0j),(-0.7200472804809035+0.4807583457676387j)
55,(0.29597428334116677+0j),(-0.974610919290307+0.06267196932340863j)
56,(-0.15144948504254419+0j),(-0.5381488749057595-0.8487756477623104j)
57,(-0.14671126757771813+0j),(0.7025178078798431-0.5865213460862411j)
58,(0.1593618761551448+0j),(-0.9450082640725928+0.3391534494459033j)
59,(0.12274034349992657+0j),(-0.904423796450134+0.3027921086194408j)
60,(0.4299872186514132+0j),(-0.8145441334667562+0.7817786602866047j)
61,(-0.13924686125409985+0j),(-0.39247670334302925-0.8386457566662553j)
62,(0.6419723518574183+0j),(0.06311382419884393+0.8219740019494396j)
63,(-0.5249400688610398+0j),(0.9425742814036429+0.1488093261102139j)
64,(-0.6362291926454171+0j),(0.5399455227724896+0.8284121052573846j)
65,(-0.34016853086409543+0j),(-0.6997154690178415+0.7839181515074212j)
66,(-0.2072316362019998+0j),(-0.9622446460968233+0.22120325452051254j)
67,(0.8686839602958242+0j),(0.8739152899453099-0.34950933561223163j)
68,(0.08996544170016824+0j),(-0.08669417728869694+0.5824246342705547j)
69,(-0.25870722253628664+0j),(-0.12008556559813602-0.9221252528030329j)
70,(0.11252541423408713+0j),(0.7054287899298393-0.9572898015413389j)
71,(-0.5924902438240547+0j),(-0.8425106020936468+0.4352861021878213j)
72,(-0.4193510480292226+0j),(-0.6806818277316925-0.4324010939191324j)
73,(-0.49075791870383334+0j),(-0.7190207840200632+0.8869113811907935j)
74,(-0.36523774596815684+0j),(0.7625576629596921+0.6324917497863201j)
75,(0.444137770946354+0j),(0.5008882828342344+0.5619382936106155j)
76,(0.878173153223197+0j),(0.23492226545918415-0.9631300957067335j)
77,(0.3053064524696156+0j),(-0.26881213103541396+1.1012939927705347j)
78,(-0.05846567988239865+0j),(0.20349420522684683+1.1560583455182873j)
79,(-0.7895000482159606+0j),(0.6228628324979849+0.7949377014984613j)
80,(-0.02816669590959686+0j),(0.051012924567313184+1.116739742722082j)
81,(0.38009777518620685+0j),(0.967334346462807-0.4670401762139414j)
82,(-0.32421541533377124+0j),(0.8516002688618107-0.4776725794132395j)
83,(0.5450884905039495+0j),(-1.1145578081980425-0.3729411170250136j)
84,(0.5390138827042077+0j),(-1.0110830706040563-0.018230402438107307j)
85,(0.7087244656333113+0j),(-0.7799300556527189+0.5743147841024353j)
