,abs_amplitude,amplitude_squared,abs_c_-6,abs_c_-5,abs_c_-4,abs_c_-3,abs_c_-2,abs_c_-1,abs_c_0,abs_c_1,abs_c_2,abs_c_3,abs_c_4,abs_c_5,abs_c_6
235,0.06197864379759138,0.0038413522869887124,0.0821962348949474,0.07237266904218738,0.13090359515267305,0.19802452452200534,0.0966476689806685,0.41572147085089156,0.36032565778525916,0.3054644318061863,0.23197982620653013,0.268735972869009,0.135080790399965,0.09086789935179367,0.07549903100264083
236,0.7177308244179383,0.5151375363196534,0.08132968498847723,0.15558802643849626,0.1492186311262059,0.18350518197687177,0.1487743230118608,0.45810397634214994,0.3064316202160756,0.31487671718637705,0.21094821834794686,0.24189561756941716,0.172428136950951,0.04689388602230287,0.12767405845031446
237,0.19094896918534143,0.036461508832944474,0.0575848808403154,0.19746497236178584,0.08592355283062375,0.13451789502928296,0.18862780873273144,0.5624184156142412,0.34421198068360426,0.14878923225627538,0.3224104492385111,0.191196154085183,0.12069120664351747,0.12290401864116152,0.24680796356878296
238,0.5475822354050371,0.2998463045311775,0.07069014017693895,0.23314108267287612,0.11747076773024667,0.14494598392260552,0.1984954576591214,0.6538078004329202,0.3582343639857892,0.14370144861829498,0.19795571976154677,0.19454063933010238,0.10581649077683983,0.11854461514891512,0.25956234000390577
239,0.31954941955308336,0.1021118315367125,0.1443395755805288,0.10020400249978295,0.12588956677508356,0.12185737221609227,0.3180173493872994,0.7253071842625964,0.4363547313095904,0.2303781160404314,0.20807418838938613,0.1939814258270679,0.08951093879877567,0.19175094057153935,0.2827568934495823
240,0.18112748246925664,0.032807164905650874,0.014865391477353163,0.1737151527780618,0.13944462107363007,0.059727924591470444,0.33765047606558934,0.7026818158197982,0.487573273824615,0.18602625335004616,0.06838800071401012,0.1783862022510328,0.10730009358084319,0.12511427119004143,0.11947752973317767
241,0.11295971681588698,0.01275989762312538,0.1326277054217013,0.08989512080949186,0.24724908822397912,0.029615622536734252,0.31074858392176036,0.6985014005272064,0.35975893450597796,0.26791122209268337,0.12000972511462028,0.0522907155944072,0.2650392920167715,0.10838439236566183,0.12203296891104261
242,0.3381106260773607,0.11431879546642483,0.06713372988196169,0.15219889046121848,0.08705768151782893,0.08531139550602165,0.1709265719649101,0.7796392885655071,0.20757802046276327,0.34864872435098426,0.07543628258364042,0.06271714724597097,0.19579587683588479,0.17416401753426475,0.0861277425431144
243,0.7189551594448753,0.516896521292406,0.06010537212098028,0.11760216532359113,0.06526375623485398,0.02002798290512769,0.1521581717377384,0.6935525642938467,0.04750738509099982,0.18294863716758838,0.0865442083400632,0.08859428503001028,0.13139413246982878,0.2738335646100894,0.023295865113319835
244,0.6575162975898615,0.4323276815962793,0.14778250363949297,0.1562158953522891,0.22494646749714636,0.12171488897316934,0.1185637086781337,0.8339174203982804,0.08105263597011787,0.15113887300578363,0.08924662429931497,0.06425706811987467,0.10023159354255796,0.101156496253138,0.024706184209526805
