,abs_param_0,abs_param_1,abs_param_2,abs_param_3,abs_param_4,abs_param_5,abs_param_6,abs_param_7,abs_param_8,abs_param_9,param_0_squared,param_1_squared,param_2_squared,param_3_squared,param_4_squared,param_5_squared,param_6_squared,param_7_squared,param_8_squared,param_9_squared,field_energy,surface_energy,param_0,real_group_sampling_width,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,complex_group_sampling_width
11,(0.0374201504625119+0j),(0.052629837505932066+0j),(0.06939216258799094+0j),(0.18693637287677495+0j),(0.11944801617652362+0j),(0.46215340784773545+0j),(0.06717368647460932+0j),(0.03450186921002778+0j),(0.16474402893654227+0j),(0.07383791757133842+0j),(0.0014002676606370299+0j),(0.0027698997959008133+0j),(0.00481527222863817+0j),(0.034945207504324644+0j),(0.014267828568507047+0j),(0.2135857723852753+0j),(0.0045123041545891114+0j),(0.0011903789789858626+0j),(0.027140595070244276+0j),(0.005452038071271767+0j),-0.2922597328540137,5.027534950242566,-0.0374201504625119,0.6530005806827112,(0.0152265483801496+0.05037908316283433j),(-0.024547655221924317+0.06490519895773914j),(-0.1574606026946502+0.10075398802708586j),(-0.09515645748105735+0.07220164242011931j),(-0.10840523875821058+0.4492594757988424j),(0.051936059967061514+0.04260222798970615j),(-0.03069854063864815-0.015747335699829685j),(-0.12269916622999294+0.10993411516316869j),(-0.06354399312967825-0.03760583742462294j),0.5310363806537381
12,(0.0374201504625119+0j),(0.1301461427590726+0j),(0.1535723580590544+0j),(0.1300993920320536+0j),(0.11729608410015964+0j),(0.5697959674042387+0j),(0.06913645357396654+0j),(0.11059652258647612+0j),(0.23720644010418065+0j),(0.06158094952071713+0j),(0.0014002676606370299+0j),(0.016938018475064907+0j),(0.02358446915981841+0j),(0.016925851807109975+0j),(0.013758371345231724+0j),(0.3246674444701322+0j),(0.004779849212785231+0j),(0.012231590808220923+0j),(0.05626689522689825+0j),(0.003792213343873112+0j),-0.29579434834173846,5.027534950242566,-0.0374201504625119,0.6291445299676564,(0.014489541422147895+0.1293370467593905j),(0.06295636934881696+0.14007485398255373j),(-0.08998298029211405+0.09396230661738242j),(-0.09635797191104514+0.06688432248608009j),(-0.14009396919470807+0.5523052817648989j),(0.06229123408612767+0.029994188917396615j),(-0.10099461822711078-0.04507413778854861j),(-0.20474367759771447+0.11977863628653232j),(-0.015387996782685261-0.05962736702965493j),0.5309511728753291
13,(0.062203263681938334+0j),(0.05834632770699944+0j),(0.250408779033136+0j),(0.11206269935857739+0j),(0.025861076992724726+0j),(0.5459130459207913+0j),(0.1427286559753886+0j),(0.1276119971290421+0j),(0.2713506209562506+0j),(0.13498199414111012+0j),(0.0038692460126847484+0j),(0.0034042939568925713+0j),(0.06270455661686594+0j),(0.012558048587530905+0j),(0.0006687953032236362+0j),(0.29802105370651594+0j),(0.020371469236540835+0j),(0.016284821811262645+0j),(0.07363115949334281+0j),(0.01822013874231069+0j),0.07647014005356345,5.0292597556519105,0.062203263681938334,0.6290435801840828,(0.011267982899922613+0.05724793898700304j),(0.16883874215767936+0.18492710932548156j),(-0.08241624446748085+0.0759316221044127j),(-0.024887232309518902+0.007030005063701925j),(-0.20076343194505009+0.5076564764682523j),(0.13587428609982063+0.04369951502482522j),(-0.09263420238382046-0.08777087421221255j),(-0.20350418071525733+0.1794915260527769j),(-0.020706892710549894-0.13338426944952866j),0.5374639973771392
14,(0.062203263681938334+0j),(0.024521930993820874+0j),(0.09384492566413086+0j),(0.11369099454114477+0j),(0.02979396711777277+0j),(0.6560639745005185+0j),(0.11212474991151047+0j),(0.06977415484541828+0j),(0.19742844950053298+0j),(0.11070920034472444+0j),(0.0038692460126847484+0j),(0.000601325099665713+0j),(0.008806870072906247+0j),(0.012925642239754611+0j),(0.000887680476614925+0j),(0.4304199386374169+0j),(0.012571959542718768+0j),(0.004868432684392407+0j),(0.038977992672184505+0j),(0.012256527040968333+0j),-1.0425180792447675,5.0292597556519105,0.062203263681938334,0.6060627498528725,(0.011609686782636509+0.02159954333949651j),(0.07998080283009001+0.04909115247741197j),(0.021583262460772648+0.11162349672584179j),(-0.021747323886397895-0.020365028367155116j),(-0.19415606643797295+0.6266764400412308j),(0.11156834923312586+0.011156298315930423j),(-0.05846171535514803-0.038087537622246675j),(-0.1786095250834098+0.08412270931005084j),(0.009633279015523383-0.11028928767735065j),0.5508186737230516
15,(0.062203263681938334+0j),(0.09392161079759591+0j),(0.08526158369040401+0j),(0.10080417915622228+0j),(0.06308900317877617+0j),(0.7285776827295243+0j),(0.1278461788061329+0j),(0.04284611393943425+0j),(0.05098017871385033+0j),(0.051310035723449755+0j),(0.0038692460126847484+0j),(0.008821268974815085+0j),(0.007269537653395768+0j),(0.01016148253535976+0j),(0.00398022232209163+0j),(0.5308254397715233+0j),(0.016344645435329704+0j),(0.0018357894797109823+0j),(0.0025989786216961182+0j),(0.0026327197659416902+0j),-1.5050105363456174,5.0292597556519105,0.062203263681938334,0.5839214775099294,(0.0834891490724233-0.04302128498752407j),(0.06062533399810131-0.05995086764188179j),(-0.02995891831966947+0.09624939349666123j),(-0.05354759969026797+0.03335980949439675j),(-0.1777513820668825+0.7065620184703084j),(0.12367780252902284+0.03237972509027425j),(-0.00617371400738723-0.042398994505365016j),(-0.0060687803914378224+0.05061767009905353j),(0.011541033453903924-0.04999524290127572j),0.5575751996289099
16,(0.19946101811816672+0j),(0.13579863154281946+0j),(0.08017112244743729+0j),(0.021055184736556556+0j),(0.030391851231164373+0j),(0.7562794039090164+0j),(0.007846828621992175+0j),(0.017814724859441446+0j),(0.10978032719641487+0j),(0.028532421609726112+0j),(0.03978469774873563+0j),(0.018441268328902437+0j),(0.006427408874481984+0j),(0.00044332080429052424+0j),(0.0009236646212572276+0j),(0.5719585367769773+0j),(6.157271942291562e-05+0j),(0.000317364421817601+0j),(0.012051720239351905+0j),(0.0008140990829151656+0j),-1.6921928190160795,5.052284419302202,-0.19946101811816672,0.5838277840198475,(0.12612536223122076-0.050335487788892956j),(0.03527299036506936-0.07199461802932014j),(0.004608444800284585+0.020544659666522934j),(0.010641243809038518+0.02846802682754509j),(-0.04307765924679007+0.7550515558892615j),(0.0057698353463102175+0.005318055988741081j),(-0.01667510537747452+0.006269392511856423j),(0.034952143971440267+0.10406761201810877j),(0.028383751113198723-0.0029089097028192415j),0.564414603339197
17,(0.19402750227781956+0j),(0.14168761523784387+0j),(0.08423816627623665+0j),(0.03396615831847512+0j),(0.036741178489699204+0j),(0.759722784511626+0j),(0.02069835251050668+0j),(0.04644840481933046+0j),(0.09972966707149025+0j),(0.03120900385758631+0j),(0.03764667164016928+0j),(0.020075380311787284+0j),(0.007096068657582893+0j),(0.0011536999109157166+0j),(0.0013499141968119355+0j),(0.5771787093060986+0j),(0.00042842179664919806+0j),(0.002157454310260401+0j),(0.009946006494190286+0j),(0.0009740019217828371+0j),-1.5174523289703432,5.051017633620276,0.19402750227781956,0.5837341055634137,(0.11178726900165-0.08705737648780847j),(0.0740737412483683-0.04011420590081117j),(-0.028465614305346602-0.01853129010983756j),(0.010482273815874929+0.03521414676605069j),(-0.04384782127931978+0.7584563783601239j),(-0.0015289521343352392-0.02064180471809841j),(-0.04201863147948762+0.01979618445184358j),(0.02286172234851213+0.09707393133818074j),(-0.027574898330098855-0.014615981112041317j),0.5505535703886499
18,(0.11220690700594904+0j),(0.12414354288052643+0j),(0.0371686945908517+0j),(0.11225915124837715+0j),(0.11585722171713392+0j),(0.8454569833924316+0j),(0.05869525376545958+0j),(0.019039698467561435+0j),(0.12314453650559948+0j),(0.07630420140087844+0j),(0.012590389979841696+0j),(0.015411619238929104+0j),(0.0013815118575880088+0j),(0.012602117039006017+0j),(0.013422895824013127+0j),(0.7147975107670302+0j),(0.003445132814591697+0j),(0.0003625101177356613+0j),(0.015164576871178921+0j),(0.005822331151425821+0j),-1.5381385357146722,5.035201521303933,0.11220690700594904,0.5764755519939644,(0.12065241963342761-0.029233762596155746j),(0.01833077814405079-0.032334106300029364j),(-0.018685875961920465+0.11069306698498213j),(-0.10649672409753383-0.045621744601745395j),(0.000892570022924373+0.8454565122380834j),(0.050991118524279094+0.02906954843534069j),(0.015071441500040793-0.01163450767529548j),(-0.05333554093529452-0.11099503116950075j),(0.07574947602772933+0.009184118517869853j),0.5573068444484254
19,(0.22385864389809265+0j),(0.10396012892287176+0j),(0.11101966273441066+0j),(0.11103241988400657+0j),(0.11454735706165459+0j),(0.8151341685247759+0j),(0.024520722982351133+0j),(0.023826598117369154+0j),(0.10091157799639792+0j),(0.07293659428546827+0j),(0.050112692447893056+0j),(0.010807708405660121+0j),(0.012325365513662291+0j),(0.012328198265298337+0j),(0.013121097009810189+0j),(0.6644437126965778+0j),(0.0006012658555772031+0j),(0.0005677067778466193+0j),(0.010183146573723103+0j),(0.0053197467859630015+0j),-1.3888573081960647,5.058227988879865,-0.22385864389809265,0.5907995708227243,(0.10395884343563824-0.0005169885729641062j),(0.09870429401499092-0.05082152946010694j),(-0.10213563473469453-0.04354894238255848j),(-0.09231577197603769-0.06781515504869398j),(0.008641153163450497+0.8150883652516355j),(0.009649160839699487+0.022542394519367567j),(-0.01789025606384865+0.015736756839213918j),(-0.03999933673351464-0.09264555917367011j),(0.07283463888322733+0.003855147819847018j),0.5503769057203374
20,(0.06159230475139828+0j),(0.10783627684857718+0j),(0.09923146926961193+0j),(0.1291730585513874+0j),(0.08394066099857057+0j),(0.7922970986164366+0j),(0.10123281158464059+0j),(0.12084981703594712+0j),(0.12257911249618574+0j),(0.03704287847224554+0j),(0.0037936120045891186+0j),(0.011628662604562981+0j),(0.009846884493405938+0j),(0.016685679055520153+0j),(0.007046034568876946+0j),(0.6277346924760235+0j),(0.010248082141331343+0j),(0.014604678277621895+0j),(0.015025638820352556+0j),(0.0013721748455095524+0j),-1.2489265575171868,5.029207200871344,0.06159230475139828,0.5980465157718725,(0.10753457133140568+0.008060928800938848j),(0.08193888175995437-0.05597235165091918j),(-0.09106409042099572-0.09161337506781894j),(-0.08180519131570409-0.018813432506536353j),(-0.11448035156925854+0.7839827431650537j),(-0.05273864141619458+0.08641017210320431j),(-0.11486350935961878+0.03756397869255418j),(-0.0706725742185624-0.10015501022751855j),(0.02383494571055666+0.028356131761655523j),0.5502885946457433
