,amplitude,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6
10,(0.46886639480102443+0j),(0.08936647608148285+0.015150019720371038j),(-0.06273226695520073+0.06700049546791421j),(0.057935944643085144+0.07596439977614687j),(-0.1594414840770678+0.1341003581707364j),(-0.2276630882245103+0.1111213549994145j),(0.7920599729637957-0.2534852462462784j),(0.21243738495469697+0.20035410158603892j),(0.094823359552457-0.3680760369733989j),(-0.10107535361101021-0.057810779493613025j),(-0.07156244405049593-0.048158442683188675j),(0.037772351679742994-0.08866878606968523j),(0.0035330649980839304+0.05708948811529772j),(0.011023469263555193+0.04921949987719496j)
11,(-0.1961216057337738+0j),(-0.039811502017639375+0.09998307646414609j),(-0.058722791498836746+0.0698484707214205j),(0.010790499826006928-0.0689358958998883j),(-0.06851938760049733-0.20415090545023246j),(-0.09598888082148284-0.07664349656402013j),(0.7759617053313093-0.0014214851838952151j),(0.1040982354680616+0.02374423551289147j),(0.02150422971973532+0.07434700126362526j),(-0.3965039082710144-0.08413006406045563j),(-0.11885713771486307+0.07573594651287002j),(-0.07180347437643156+0.14416117268300827j),(-0.10636694994316061+0.003919380355475673j),(0.08792406197754352+0.012518439284833698j)
12,(-0.8316799819729082+0j),(0.109674022060135+0.053613696270811154j),(-0.03103736919136426-0.04712075532858684j),(0.019001831613637915-0.026884631620378047j),(0.034647591806145725+0.008529549069585508j),(0.06770586217367017-0.07090098156771696j),(0.35419924031866823-0.03498537264167637j),(-0.0778378655581097-0.7567020318107633j),(-0.03196436478676837-0.15691570727217205j),(-0.14328539751916236-0.348806989362134j),(-0.10152856933263688-0.10437124660750341j),(0.0013096214294631213+0.2736220539522192j),(0.12102342129530379+0.022516427305559694j),(0.008936317733946236-0.12231748395548964j)
13,(-0.25244508945088784+0j),(0.06265512078415054-0.059785591294308944j),(0.04222535949383853+0.03898060395596956j),(-0.11334966036214097-0.04725959407824788j),(-0.05624459718207213-0.12766120617265064j),(-0.013949681012419692-0.13133014064155107j),(-0.05535363302646225+0.6325641518796635j),(-0.05980125548497336+0.16113084740266775j),(0.22797249285584564+0.28882506190153046j),(0.053227317504588104-0.11519084680458858j),(-0.14857719845675116-0.15460452427009788j),(0.06328030575018137+0.10453033255475962j),(0.03103241731008483-0.06451272254989092j),(0.029138428772228248-0.07986694558165074j)
14,(0.2435036522650011+0j),(-0.022392709832504857+0.017936935578792564j),(0.10609393874357959-0.05476644438907774j),(-0.01548488400788555+0.15099562257958446j),(0.19561098773917526-0.18059300592878486j),(-0.06501147316641973-0.10573499601154j),(0.019430257353854827+0.2407234477123236j),(0.6339304070543362+0.23856055360246398j),(-0.458117267587106+0.0907949694080524j),(-0.1729560644743427-0.09808548563790002j),(-0.027530304423633634-0.1075716795495987j),(0.11162306572466031+0.057051479335891j),(-0.002080373163088744-0.03400843034398085j),(0.05921753797447324+0.05365377257757393j)
15,(0.7187093419704248+0j),(-0.027575212970649098-0.041645264737824886j),(0.09480759702315374-0.056269568400171915j),(-0.1252655190955056+0.048658805627071935j),(-0.03754580579325534-0.19989375565806777j),(0.013075303335272445+0.11732840977514003j),(0.22088765633886578-0.19333870497510935j),(0.2902895994626018-0.37696022884662916j),(0.20858898124188197+0.1802194002334777j),(-0.36774216704150087+0.17152416342654966j),(-0.031082647271158958+0.06364277672874902j),(-0.04539770229423461+0.051163812650631954j),(-0.0011603668084994856+0.034792757845340104j),(-0.050776590516912065+0.04856955434256476j)
16,(0.6484852622406703+0j),(-0.01663247170585867+0.059439207387680784j),(-0.08495507190033758-0.04624100452946117j),(-0.07013528826260812+0.04232400289356893j),(-0.006200419345231424-0.03259773969478574j),(0.04709968199645566-0.010715043400972027j),(-0.11699384583859238-0.4009283614865105j),(-0.03529697780219715-0.5031412590758474j),(0.21923504728113807+0.2565303230000213j),(-0.2660447764193946-0.046689067380974815j),(0.10868648083318877+0.14772321534046465j),(-0.11326529103891426-0.08032181685409738j),(-0.03525786886015709+0.09438198567643917j),(-0.06656122484069617-0.09148641395261507j)
17,(0.020113485811849532+0j),(0.0574282294994433+0.06898289913630191j),(-0.0794635394436836-0.034132260595944555j),(0.02196303931335703-0.15328506120332897j),(0.16086553325098563+0.11731720301347413j),(0.07459005672160332-0.030283806592944218j),(-0.48981640490362405-0.1337843918560328j),(-0.05616214037152745-0.2509179084148594j),(-0.25003762321672174-0.13885939639879635j),(0.14038642116153494-0.03154106881702066j),(0.3117836075478976+0.006628993733327345j),(-0.10382004174175267-0.1833306367885678j),(0.11609489623794741-0.018574424950496115j),(-0.12941453443627196-0.002479841155331312j)
18,(0.010607187501266158+0j),(0.05237346980876043-0.0022745483132577266j),(0.16148012639034431+0.0232548094949588j),(0.0665098187388472-0.02473437625510951j),(-0.06541631077080459-0.08108881616168445j),(-0.051709894035399925+0.11001450068216227j),(0.18326419245227674-0.31358296125399293j),(0.1454990042554294-0.6748687207678888j),(-0.14357654124742678-0.09613185925767269j),(-0.08807874277214213+0.1839382394279014j),(-0.048039340114456444-0.05269094611159032j),(0.050787439534695486-0.1343875725203116j),(-0.10121715415422275+0.03862064222900166j),(-0.07983089712548935-0.04247070778116441j)
19,(0.12048903731847271+0j),(-0.023621697081387616+0.05984573046382638j),(0.10733832975348256-0.10356428859624849j),(-0.013859113145238015-0.1451745933016696j),(0.0760139849423978+0.12575489583761082j),(0.12918096795118883-0.4553730958085505j),(-0.1513565385619125-0.10503720049420098j),(0.5995575689000299-0.20589672046323843j),(0.056405749153918494-0.0799539477851929j),(-0.0673470606359473-0.10111852353482487j),(-0.20942063767919752+0.008891747278781788j),(-0.14280304163695273-0.028640108337871308j),(0.0668464550301068-0.03179582673402753j),(-0.08210542007332575+0.00866180800464373j)
20,(0.0018698210476880694+0j),(0.05833881135415858+0.07447411788052978j),(0.06760162213493404-0.11639844037623688j),(0.029240358987665957-0.11883057407184176j),(0.014333255388685419+0.0971185582555533j),(0.009160593124342503+0.10813079248997148j),(0.11556340937710283+0.18174056366354954j),(0.008432053565913976-0.2935584400455077j),(-0.23518291404293593+0.043180102771764844j),(-0.1883991435847908+0.29028328619794813j),(-0.15645006640872713-0.1670377324539716j),(-0.019082602766478465-0.11504829356942331j),(0.124636195168752+0.08148500477294707j),(0.004562344893320969-0.0433321500688886j)
21,(-0.22910791766316752+0j),(-0.0023057580945113586-0.049145785667457094j),(-0.014027459365315777+0.05607597826075435j),(-0.08545994732532461-0.062095749728318744j),(0.06866303177396396+0.1313474073088292j),(-0.5037638636640083+0.06025136892775326j),(-0.15296926122566754+0.38705187475770086j),(-0.15322041812996512+0.6090675154159834j),(0.09514893083651531+0.2415622879927622j),(-0.13003973535535168+0.045835254865861354j),(-0.07494775086232235-0.032092569450704454j),(0.03055264929787094-0.19138642151336197j),(0.02721398461623491+0.1823748760478189j),(-0.0021141447143995422+0.0624803885924903j)
22,(0.9158075388356233+0j),(-0.025311078971598764+0.03951637572095845j),(-0.028401496070410048-0.03900686450848746j),(-0.013918420651791222-0.07782672985687356j),(0.019634198571669217+0.11257901190859738j),(-0.37159757643660124+0.03988633849541937j),(-0.24522130377072654-0.07688568319430637j),(0.027948693080054633+0.6653755247090892j),(0.3160530032370544+0.008746530255723597j),(-0.25698585479950387+0.1341799562057304j),(-0.2628513506647893-0.04243473860149634j),(0.059146134465595294-0.14374992956344806j),(0.18098371740836805-0.025206412522846347j),(0.0025696823755465767+0.04476588779145016j)
23,(-0.16824146735441825+0j),(-0.03446689869373075+0.06377556779313469j),(0.005173676586652144-0.02145581758869726j),(0.08765903967667717-0.20647752513987233j),(0.004994761261372202+0.2623859025233674j),(0.20472020909519067-0.12613768815307008j),(-0.2889647016010011-0.0842315285994912j),(-0.34195563601815415-0.025739116113547074j),(-0.7035724356075114+0.10456132835449328j),(-0.1938254289963-0.27837656953060624j),(-0.03790618457450572-0.028125077316395873j),(-0.02995471505265181+0.11273189483189741j),(0.2296972785088531+0.025233920900853322j),(0.016095326783864536+0.11076639150202212j)
24,(0.8160404132213309+0j),(-0.030675703550342+0.0670976856831577j),(0.1083519754425015-0.020758295968729475j),(-0.0055947232505424785+0.02306068670715327j),(-0.24278886161490132+0.009922675736259568j),(0.4318316253904767+0.0161574947201325j),(0.24432295414636623+0.551485082138872j),(0.2693145357210375+0.030954920191539642j),(-0.23161428904657622-0.22525317707137357j),(0.11395403247132786-0.26752973226923943j),(0.2574831810543423+0.08836189221604752j),(0.019219219261423354+0.033231377488896666j),(-0.07178303435243699+0.010254564815995605j),(0.12331708663262297+0.032285623072507284j)
25,(0.1080491375960061+0j),(-0.03504848057534542-0.020070883045345603j),(-0.0023905688975704325+0.007840790334450624j),(-0.16832289792593236+0.0868459354249566j),(-0.04096392314384563+0.06270434187635951j),(0.0945325519236465+0.4541130550879291j),(-0.010591159476227241+0.30442319189558814j),(-0.4499597098619222-0.10098041082123992j),(0.01755852627075878+0.12218931921525153j),(0.36254199252254427-0.17953412080993078j),(0.32849759444868376-0.235476600240229j),(-0.03898608432960366-0.01179203463017526j),(-0.06865107490546421-0.014148066716878186j),(-0.15214133080289283+0.059251378077677136j)
26,(-0.11068611292123497+0j),(0.11750007306137258+0.101461053682487j),(0.05410052034339338-0.01213384519382982j),(-0.08765775693986348+0.005098246927879222j),(-0.033908586275433805-0.012380403254344662j),(0.2683694747005007+0.20622142062490276j),(0.029936457391835876-0.07968744554510579j),(0.7831671005483881-0.2535021737376738j),(-0.310345670657712-0.2171701042319675j),(-0.1605089735254604+0.12168573801343409j),(0.16833656111263984-0.06650746935353335j),(-0.009135561967113598+0.09403851772033966j),(-0.18409198419001654-0.07335249600967174j),(-0.029320558885043632-0.07180844507803125j)
27,(-0.8066966907893612+0j),(-0.014953451183038452-0.03509025050092522j),(-0.012740748494908518+0.14076674675309117j),(0.005444597604814624-0.05768974606521689j),(-0.1264325859546288+0.21294982931061515j),(-0.5646435112466117+0.03206350217062798j),(0.39664910000580683+0.10320034768093911j),(0.5845597594030778+0.13663028741732192j),(0.21138924284994387-0.2220059293091987j),(-0.3052791580385111+0.2286848946132132j),(0.15055478479028234+0.08223403053288131j),(0.1839181260895846-0.019185500158907007j),(-0.06024612332408575-0.11675447218478688j),(-0.10548833385957707-0.08413968145971865j)
28,(-0.8917542306134942+0j),(-0.023722678871239026-0.04137740392558129j),(-0.09345756363346666+0.14376987551053086j),(0.03766462205932513-0.016506022871340773j),(-0.1490379651274049+0.1551805791435199j),(-0.5161566599648532+0.056088115414910905j),(0.20563155961436275+0.24074408000803255j),(0.4843989933827778+0.2678765736960574j),(0.32069952362477644-0.4618577693294574j),(-0.16665161773530096+0.21873622218207256j),(0.2142943571914508+0.010944809546860966j),(0.20839843019987359-0.04675896525693777j),(-0.02867394522378121-0.04530667189748024j),(-0.11461539299685726-0.026606676289767636j)
29,(0.34255827127213495+0j),(-0.0752555528416356+0.014773311376555284j),(-0.15626982315622281-0.04661411023834952j),(0.08800519008259171-0.1483794241193097j),(-0.05652670316745173-0.06421553344446895j),(-0.15483006663269494+0.17156986831332616j),(-0.44347492849531583+0.025021897683399574j),(0.8513723271672363+0.06902880665136144j),(0.018999564621714364-0.1690471298227181j),(-0.16585232854152673+0.12433864661356905j),(0.023823930914667696-0.09766561016037839j),(0.040921433158480944-0.2060082906374264j),(-0.02443802628562694-0.040416844211812394j),(0.045465812711177306+0.0046484179919130285j)
30,(-0.7485188206281123+0j),(-0.08485164202806064-0.18903256404739316j),(-0.15986249852090106-0.1103071565671421j),(-0.14689619860959213+0.11336179082935857j),(-0.12169750560896617+0.035050767185806964j),(-0.10742916685637738+0.2805449074196753j),(-0.13650171680121462+0.10161430642238167j),(0.30819103279557813+0.2336149516928108j),(-0.5621515794582399-0.1325385462333072j),(-0.02175621304250425-0.18257718827141248j),(-0.043774243115879956+0.01174251543929848j),(0.02070429985996131-0.08092292720789115j),(-0.0703087806851325+0.021256144391033727j),(-0.07333610186701765-0.10784253504907057j)
31,(-0.30649494901317886+0j),(-0.15250808698614143-0.07173674509168484j),(-0.03868741726796361+0.042312009093816265j),(0.14099522421329413+0.12424188249056803j),(0.10561869317954403-0.028870892555561176j),(0.11380267035114303+0.17287014000621803j),(-0.16004262186934037-0.29172586418027324j),(0.39057312888220186+0.10433492779677214j),(-0.25342713482933404-0.12475267603966346j),(-0.12370479035766507-0.036117323815191796j),(0.28475784886277883-0.12243618029410941j),(0.02973030059468248-0.05300041751551578j),(0.03553293069542017-0.011437355502847388j),(-0.012865222590488974-0.08196456468894751j)
32,(0.6654024262097292+0j),(-0.0964330343224107-0.07116096261438781j),(-0.003249173819394704-0.010085268690774538j),(0.014770473862007593-0.168706100062376j),(0.09474633569870573-6.791660265288713e-05j),(-0.1616907516927531-0.04147004926145692j),(-0.08802980988477511-0.40372655754395104j),(0.166878970620723+0.9252120025625679j),(0.14270137920264778+0.2863817646514629j),(-0.027576515628397406-0.012870854359264581j),(0.11260769647227609-0.09807918282888166j),(-0.031071746236653788+0.11958444723158253j),(-0.015781159856765297-0.06288746592943667j),(0.028260720501357143+0.04762313569404876j)
33,(0.5434082622996972+0j),(-0.0312769346439747+0.04331423787198245j),(-0.015286630871448704-0.10946494471392917j),(0.21786050361193976-0.10384762633338275j),(0.10158422385661685+0.18641063809021838j),(0.16180746016879421+0.21471980798806023j),(-0.39014725793783683+0.16198767436048603j),(-0.19344308724160192-0.39535886237570383j),(-0.35661698851853074+0.23716158475356994j),(-0.2346742357838631+0.26127014719651476j),(-0.06579759917349012+0.005565891111550859j),(-0.022879030400569336+0.09052606180270578j),(0.07516052198492604+0.0852061848017656j),(0.029359060258333874+0.06798915197581736j)
34,(-0.3216903057755277+0j),(0.016437485789284806+0.042045373048223846j),(0.07330033512283936-0.03001692041420253j),(0.04672563995293771+0.054014028955186345j),(-0.05948009457573843+0.039080168005695914j),(0.14559512470624902-0.07763363511471143j),(0.38025921591124284+0.34784019287093043j),(0.32847380516774133-0.38396708254868067j),(0.01445751450460675-0.003656488567325783j),(-0.2910805279305648+0.078994398001516j),(-0.058570313661707424+0.06531770472645279j),(-0.17459424186107184-0.07328079168610062j),(-0.04616894371400009+0.20480909658772323j),(0.03675529277777294-0.054462810928858234j)
35,(-0.2080672223744244+0j),(0.03799903744620849+0.014554069991140494j),(0.15153492684067632+0.03433741858273532j),(-0.1788639099643123+0.1039288359075268j),(-0.008142426294485092-0.020334420812232412j),(0.11910773027976818-0.01361110901533688j),(0.3009376112825056+0.08874794633178548j),(-0.01594073458647618-0.44543068605065944j),(0.35869459177005325+0.5622511689575842j),(0.00447854632236621+0.09064726635989306j),(-0.09397855316239323-0.05787976297465574j),(-0.20182696730228653+0.16974135986518862j),(-0.03011811679228603-0.0031069903735900326j),(0.007850499736100896+0.08261929889238602j)
36,(-0.005411387235313592+0j),(0.05165146678587928+0.025887037278511084j),(-0.02753222035492654+0.024758516479252476j),(0.04486306043954771+0.03607348423058627j),(0.0505670737645607+0.01407464932688205j),(-0.0325148201986387-0.31403862039425695j),(0.4489964217069083-0.5379775414749927j),(-0.5310430608180368+0.07333325829873433j),(0.14039765321694725-0.0249917116563049j),(0.06098787497248241+0.0833635788586436j),(-0.19656705268612207-0.03772491352000437j),(-0.05480925138326737-0.12670503280985268j),(-0.042602422527773645-0.027236647992282897j),(-0.044997741810103214+0.05042297671711783j)
37,(-0.4985068221584239+0j),(0.06675416900479156+0.04179217285599153j),(0.2121498240125878-0.02971885815719094j),(-0.10526786959257733-0.10375008483083947j),(0.20885261483593626-0.10501691266160393j),(-0.3860378108947106-0.06520351820211515j),(-0.6044858663325616+0.055627570360086656j),(0.08762541246758421-0.10884252460995368j),(0.13112158747549735-0.39288639331433295j),(0.07229877873944617-0.09639180153203458j),(-0.12752963798530817+0.07856373545745401j),(-0.007928006287185513-0.001632619950856163j),(-0.036995895584097806-0.04318955000924567j),(0.07924887508231275-0.012570635854034118j)
38,(-0.48139054244225865+0j),(-0.007522720160791807+0.1716258483224047j),(0.006123003552742076-0.039588590240066626j),(-0.002133617683975471+0.19804694905151318j),(0.18944824432834137-0.04849482920465528j),(0.2789176398408001-0.26549327573058323j),(-0.20203050847281076+0.03082204617955601j),(0.36499170521454+0.5116641766485449j),(-0.1292122665440852-0.23825664631620153j),(-0.1859589846842581-0.3022261620445094j),(-0.15351499383037875+0.14937459836721537j),(-0.012614973187700083+0.19011633896956587j),(0.05141946299871631+0.21031893450642933j),(0.030192689653963385-0.020775678710831448j)
39,(-0.33419895713885733+0j),(0.06515170431245647+0.01937294298011829j),(-0.0072788386885458784+0.010115696981141203j),(0.19078637670586718+0.07951749004632908j),(-0.004126772357157367+0.11809856462613857j),(0.08231979280366372-0.29647950853725563j),(0.180227323791888+0.14038901867941694j),(-0.036021651942441765-0.27628424456428297j),(0.4685971552435682-0.34948408494208555j),(-0.13211353242196458-0.3791398453696098j),(-0.013240012663458527+0.13876069320376588j),(0.007346818275062839+0.012484269313589418j),(0.003979523015936643+0.1639312431379761j),(-0.03144032936321818+0.06130592901257519j)
40,(0.4387658617279812+0j),(0.11233223631474153+0.01347218504775831j),(-0.12744377436589513+0.00918558516927268j),(-0.06963402819944642-0.007281327024992165j),(0.10956734690638786-0.06634895628655528j),(0.041710051989771194+0.011128747122448247j),(-0.1815703079146217+0.3621720751101344j),(-0.12363491301382196+0.7274266523785402j),(0.12190569284871139-0.3805685968125987j),(0.10569797698289968-0.09411225937868486j),(-0.056156880786766866-0.023801275378508867j),(-0.006127311765325688+0.15386699859774922j),(0.02473667127871905+0.16145636484245376j),(0.016636603995353112-0.010736822722225467j)
41,(0.7466149207259725+0j),(-0.09757632720051775+0.08007139615421398j),(0.0407350885555863+0.05627442655546917j),(0.1766581833944049+0.054682003534045696j),(-0.1309626599250273-0.033662089486314876j),(0.04434636465148148-0.24309188609686905j),(-0.23348372547889323-0.025151643146865663j),(-0.25479149483569274+0.3100359975780298j),(-0.4955974767856177-0.11074593583557045j),(0.18361998465648505+0.06507954675442043j),(-0.09948079391601178+0.08893213036530695j),(-0.030640633948815613+0.12940844652787278j),(-0.01753512074150855+0.05677639088297736j),(0.0530953201084249-0.12075416287942749j)
42,(0.7641189359642269+0j),(0.07362383915713885-0.03730382358000468j),(0.12744850880434508-0.08549884435866628j),(-0.13130802322044594-0.0038818489912244214j),(-0.1838830310726737-0.22325689033934987j),(-0.055371856509085354+0.12128915372864654j),(0.002753019681065408+0.2729999404440971j),(-0.6780459653682499-0.54552721178257j),(-0.3161094274888738-0.13418094748615464j),(0.2719387371613029-0.16657129115469632j),(0.08063903495414573+0.12362672442767865j),(-0.06783071656163449+0.19722954667754744j),(0.0195091437322233+0.020762865899667884j),(0.009266320438403305+0.02006897399586202j)
43,(0.8663705995872779+0j),(0.0221914255274529-0.03279410181248276j),(0.22641911795694317-0.02939277925253239j),(0.0008161544202792363+0.19435436156858918j),(-0.07489896589589352-0.04417585455891322j),(-0.1626027392375144+0.07061834000778962j),(0.0970693808661536-0.0936531863130731j),(-0.6075883495186374+0.2774954634586258j),(0.10883973708556377-0.36462579122955385j),(0.32725432180467556+0.006267110068117476j),(0.0011270775193316374+0.1113301520338368j),(0.14216641365910776+0.26821553009432597j),(0.008167581913036289+0.07479068662605337j),(-0.04374134278631235-0.02779453573545144j)
44,(0.6105635558388316+0j),(0.01177612958538157-0.08268930782711359j),(0.27642091791683693-0.04841563915779477j),(-0.026840897701300263+0.15254728462238662j),(-0.25860003772300444-0.1718993673446479j),(0.11921272705128423+0.08786393701261609j),(0.17729022743396422-0.11561834252865988j),(-0.4841680511779776+0.609813252633218j),(0.09183835857816873+0.00669983669141519j),(0.2367232610006766+0.011410515983907703j),(-0.026468175823625175-0.036390093556448046j),(0.13209940907034076+0.16631708565601352j),(-0.03159199177948906+0.05414148349530349j),(0.008430336866511266+0.003901399786932047j)
45,(0.6939305646769094+0j),(-0.0637435481942814-0.0650883219992913j),(0.2535727960617984+0.035904037126705486j),(-0.06048532381933896+0.15188807918649486j),(-0.11465395262149454-0.07566267414362857j),(-0.11827745805061982+0.03215429467647278j),(-0.03999127546336955-0.07986111853187755j),(-0.6248273704269337+0.24183097196520426j),(0.09615243105858441-0.2923630924830693j),(0.45343562121487635-0.09153425844501727j),(0.07239157292532195-0.10796330644349578j),(0.10610747307769414-0.01999641032176811j),(-0.044206634150606335+0.1250466416529688j),(-0.08266855370925569-0.09016806727424766j)
46,(0.7715588298250304+0j),(-0.03432750726615166-0.18652617576578176j),(0.20993591960503521+0.00970146900371946j),(-0.06134256429748603+0.1702499374696126j),(-0.18660605355798168-0.1656857252010095j),(0.0713880453480489-0.08222174378641617j),(0.3549773148917807+0.06600612660969353j),(0.3565203752086412-0.10890633776925479j),(-0.25869267316523714-0.5605858196007676j),(0.46300938973119615-0.22168711510984213j),(0.09449567391717659+0.15737468207849098j),(0.11786586077946345+0.07495895056192906j),(-0.09590299870603336+0.004833465383664815j),(-0.028016635750687097+0.05416920411097222j)
47,(0.38733386649066553+0j),(0.089803180779571-0.06023966730106885j),(0.0817271400844803+0.1814983327892688j),(-0.04645944313804407-0.14390043589266055j),(-0.05134686850860469-0.07547422265111914j),(0.26204212233403035-0.07542702280631042j),(0.5371042831219284-0.07319792836578258j),(0.06724433148912157-0.009558775122908586j),(0.052787133725462954+0.2230239045417467j),(0.30200783413012094-0.054627282130367244j),(0.10842843212335829+0.09831329630887689j),(0.030612479188576874-0.014633949226579634j),(-0.10768452702542637-0.0376181945442076j),(-0.1938106553311307-0.04755757261941964j)
48,(0.40149104913874445+0j),(0.07311872806048555-0.01212979132011963j),(0.08937498796978283-0.14529504200699464j),(0.05407412530693877+0.10448232260564885j),(-0.021293149498512375-0.016780727921815043j),(0.010856438229757515-0.053947711184368335j),(0.1443871178658096+0.08850966240787352j),(0.0022006876685576743+0.05208598746762412j),(-0.06015467871657633-0.5220145642882854j),(-0.2509231755024071-0.27333414446850507j),(0.12020751482320943-0.09821327253384309j),(0.2317793988936425+0.005705590043330114j),(0.1812678420519408-0.08640431778370888j),(-0.011336469382023722+0.10134860741826127j)
