,amplitude,c_-2,c_-1,c_0,c_1,c_2
12,(0.11856605509486717+0j),(0.1370008795828909+0.028169952498751524j),(0.18707307924465882+0.22635375490751794j),(0.607185391086684-0.21167640088050144j),(-0.30995111536587283-0.2874692220885615j),(0.26339210068755914-0.18522506438290473j)
13,(-0.24804907270873106+0j),(0.052639095885557596+0.1351878502343527j),(-0.061067205197800456+0.3522205480959666j),(0.30500124865976297-0.5469774398842028j),(0.03201801109189194-0.20684061499002507j),(0.13082384382435097+0.21307538624800054j)
14,(-0.0652234750290317+0j),(0.15979137181080483+0.030119027934830997j),(-0.1302464858973075-0.06186749769028135j),(0.458700109110285-0.7901850784695812j),(0.2578808530008172+0.008402260649172596j),(0.05051220559147191+0.02731389641560303j)
15,(-0.09926208320473673+0j),(0.09111851672619115+0.031047430836956852j),(-0.1649817580162565+0.03718020300113953j),(0.22565070585261773-0.8984195597182221j),(0.010001531500974513-0.314326071892682j),(-0.307066386530558+0.01137607637205984j)
16,(-0.4469661174583572+0j),(-0.07144251116969744+0.12822041156451436j),(-0.0475128064478236+0.03899124585663749j),(0.39002264829909505-0.8964305288076184j),(-0.015659447348163692-0.09534907136268718j),(0.26348721960860394-0.07251624864224657j)
17,(-0.04552326097392029+0j),(-0.034332771792384774+0.20643662967399498j),(-0.07065935710546703+0.16633557683915062j),(0.29472862774582415-0.9630731273124488j),(0.02825974351161699-0.028734061088248455j),(0.2019660168291663-0.06382829879139969j)
18,(0.050307342171746566+0j),(0.07910826905654955+0.10820243751958673j),(-0.016928541488759052+0.15341780692286297j),(0.2284728436986384-0.7351619675419732j),(0.06355350961952735+0.054700859484045974j),(0.24660562346280937-0.24987007882324064j)
19,(-0.2814206043422629+0j),(-0.10395332575464804-0.05837133840579098j),(-0.022928661223926994+0.3249552386569973j),(0.17366499421409015-0.9934709128133394j),(0.08999835119394282-0.187733117340125j),(0.08748485786396276+0.02416081058270285j)
20,(0.3380402338768727+0j),(0.3379348953548413+0.21003025464495179j),(-0.042137928871251215-0.011488400432718038j),(-0.19159844429679943-0.6765955799138075j),(0.21667048301043063-0.2842061161011501j),(0.2838856240495972-0.22167385074660767j)
21,(-0.15372867322399436+0j),(0.15760653521224613+0.15282355399310582j),(0.17304922872199002+0.21834747291715312j),(-0.1533035579688646-0.8645258135112306j),(0.19179089750810174-0.19900092389570567j),(0.21984666165377573-0.12628528166621594j)
22,(-0.630169411249+0j),(0.006991012404824956-0.08604681538056484j),(-0.26401080113758274+0.12566256143702811j),(0.08162776217467435-0.5038062889649711j),(-0.0537582301365567-0.14499558158916512j),(0.11287626147682972+0.05422202742167543j)
23,(0.029081263590305717+0j),(-0.3926018759316612-7.680011195747294e-05j),(-0.49923562465197413+0.033323815441810525j),(0.22079074755216138-0.2185171649437651j),(0.237488486428588+0.4495211956842768j),(0.06828011360174788-0.256984368435192j)
24,(-0.6882374753111001+0j),(-0.11211552264296212+0.3711351637877046j),(-0.16954921132968714+0.1806340144342612j),(-0.37178047316159857-0.2571362121814937j),(0.34995664272180477+0.5293550065106374j),(-0.012177852683659465-0.18649257788250764j)
25,(-0.37062411273492063+0j),(-0.030701834226393977+0.04794646898172761j),(0.2271833156006839+0.07621946532333433j),(-0.12396334474271999-0.22119304025239767j),(0.38804121557811544-0.08364226117867221j),(0.3098001092996046+0.2705664337876931j)
26,(0.35146731573031936+0j),(-0.14840691102182374-0.10034650968184829j),(0.25720670831693765+0.28011396503200336j),(-0.059163467382463863-0.39322819173228796j),(-0.17179042193705343+0.049934700475601695j),(-0.08100871737668908+0.23597400518775175j)
27,(0.39069786516277993+0j),(0.3257842476363386-0.16550964477713695j),(0.5046779951365777+0.2790940184298341j),(0.38577700369299833+0.02179792319379588j),(-0.2708823832318178-0.010597479349210216j),(-0.126750909823231+0.19068385969482415j)
28,(0.04243876806421476+0j),(0.0790312257320823-0.031092826636052298j),(0.4152027035112629+0.54603669630447j),(0.43276001061714575-0.14208716732080517j),(0.017344841891881346+0.040375555006660735j),(-0.20362884875880838-0.012726040446960882j)
29,(0.22265972249803961+0j),(0.23117310088852966-0.1834448635493952j),(0.5849789848510958+0.26698892989277434j),(-0.12264887131443156-0.009968673983139081j),(0.2286917085873366-0.3203911774130613j),(-0.19361473844595767-0.04641950889176828j)
30,(0.2584065776713003+0j),(0.03467344204995389-0.11667441133701212j),(0.40412575261551686+0.05650665429614779j),(0.242294596290545-0.11765957522535175j),(0.011853450335959442-0.6047734265237611j),(-0.10945561653013328+0.1754568829190591j)
31,(-0.19679363781182735+0j),(-0.045932392801793204+0.2941820484747192j),(0.19412088587943993-0.05749498124630961j),(0.29650166133248673+0.4269823379341624j),(-0.31701554724664993-0.46475031538716605j),(-0.06302016876488722-0.04189900359700373j)
32,(0.10529071815000979+0j),(0.23542352297262026+0.1303228905136678j),(0.4678580478231092-0.23515649428469795j),(0.3178766708370191-0.08363581049208177j),(-0.33775941156170175+0.041650451798448264j),(-0.10482482226318426-0.04588298653194833j)
33,(0.10333013905232169+0j),(0.10263229525485945+0.05002028260311664j),(0.5365889320375541-0.22536809338379085j),(0.3881130624478869-0.0869217392436473j),(-0.20444098265068-0.26682560520501414j),(0.1791766038064549-0.2572089779850844j)
34,(0.5521050716846629+0j),(-0.3545623446552914-0.0938119978493836j),(0.4420313662798303+0.022921331415916554j),(0.21966410693597294+0.33158384754194414j),(0.16557358330065397-0.20326358196386932j),(0.23374801786674118-0.3543905507932018j)
35,(-0.15127582737342182+0j),(-0.028039402524836922-0.04970856604874326j),(0.28440368850652187-0.030966808956428594j),(-0.5445244714368245-0.41835061166033133j),(0.13485599811932242-0.4326902185149101j),(0.3192547186195821-0.19638477188833092j)
36,(-0.31068465180281746+0j),(-0.23019039989967333+0.0847257292128171j),(0.1289453031821101+0.037031330015504293j),(-0.4070945865788169-0.5037901078591587j),(-0.1786712948283544-0.6568981491436597j),(-0.15500411983203072+0.1423020044342953j)
37,(-0.6916006363804736+0j),(-0.012886518225542015+0.05983130775298892j),(-0.0697253108541031-0.19803804115227341j),(-0.5778037279909006-0.537965284638515j),(0.19615251884871074-0.41699315682740246j),(-0.06270584326990893+0.17069704590744972j)
38,(0.4768167547177042+0j),(-0.11201796740258646-0.32005305247651494j),(0.025506946347138515+0.08760705222710125j),(-0.8961472306053581-0.20964890983716053j),(-0.11843558043976717+0.26004511776125944j),(0.02347454348558184-0.1535213093152048j)
39,(0.0031220021459510694+0j),(0.1460256845956719-0.3161069169182953j),(0.027918505973615712+0.1813363489183042j),(-1.006018172055146-0.028025109393324733j),(-0.15277451001907455-0.00817032930296585j),(-0.13095697208455584-0.14388445275895614j)
40,(-0.01594924776038694+0j),(0.02172936031325474-0.14188480083340954j),(0.14710650487449578+0.11407452285104401j),(-1.1995045942396763+0.015345162918540121j),(-0.18949804479873963+0.06814280650067459j),(0.02865471249214758-0.04771207529874222j)
41,(-0.16748305529883772+0j),(0.04903478473137744-0.17156962782662602j),(0.16998203624232536+0.0976336551469757j),(-1.1531532145908716+0.03046609669225319j),(-0.04217337975314164+0.010528305153694108j),(-0.11520442909383388+0.06750624996328128j)
42,(-0.023028555440625542+0j),(0.04315727348631945-0.07234244554442745j),(0.19532995110761175+0.263835739576892j),(-1.0918494599004125-0.29696523800553587j),(0.008025186920424386+0.07718184513137327j),(0.11093961165043241-0.04833374558672175j)
43,(-0.4375240884804214+0j),(-0.10646778865591053-0.05448328501861904j),(-0.18207666638851305+0.10214273835145483j),(-0.8563822056968152-0.5101409819274275j),(-0.09211178908305351+0.2642976529604734j),(0.10269927310424513+0.24702531743792697j)
44,(0.5566505878889806+0j),(-0.09687456463559245+0.21809916415963132j),(-0.016510356115542454+0.05644415388841181j),(-0.8760339004891318-0.24253784739070425j),(0.10840822963835152+0.3103908428345075j),(-0.0014203849345355846+0.5354174966215831j)
45,(-0.7197673589456475+0j),(0.08867317388794081+0.0784865439279149j),(-0.0422639319538822+0.20048506327196608j),(-0.6278869885792416-0.43965923388690353j),(-0.33495023833243515+0.27106211728458574j),(-0.12191801653786682+0.18130177622468593j)
46,(-0.4502802552683163+0j),(0.0822668974083265+0.16674880535437123j),(-0.06560140655773931+0.3844289972121701j),(-0.5462792469953787-0.6635070906987907j),(-0.22648316206144065+0.016101273844630243j),(0.06802964978538568+0.23552756569558309j)
47,(-0.06663270697453672+0j),(-0.039718894134265034+0.14387118778114694j),(0.0039033033140339762+0.45209041536737316j),(-0.6195916084060457-0.5292458234248919j),(-0.12791897179734288+0.2113659766270041j),(-0.06300648780504087+0.2897387512013663j)
48,(0.5992669700752581+0j),(0.19714563120665515-0.062160868786736975j),(-0.17613082914860306+0.1529868918333629j),(-0.890845020161299-0.49434013293822454j),(0.3905497111065719+0.2445131877330831j),(-0.07429584159143986+0.03703885623678095j)
49,(-0.7856116635675013+0j),(0.19794825547135356-0.05483355348457153j),(-0.42035236580105256-0.1157251988738009j),(-0.8298083193894373-0.26122849536300674j),(0.459066178139249+0.19706767877570058j),(0.04965154883623492-0.06279708406957428j)
50,(-0.35854510405451273+0j),(-0.11474065866908331-0.005344468504192228j),(0.05949360465928255-0.18613572423022226j),(-1.0062192133860952-0.2339576120202819j),(0.1966868599503876+0.005870803251863677j),(-0.03687508713306693-0.2318344099644688j)
51,(0.433686006958928+0j),(0.03553186049952688-0.3541105357028212j),(-0.06351294343496858-0.04355851585255136j),(-0.8958132135797268+0.04145158515986948j),(0.06763618657646182-0.16125641989781664j),(0.10328648486319034-0.184227671576564j)
52,(0.08648894223397213+0j),(0.09779513148576417-0.15007816346295388j),(0.3992223833437256+0.29268725341163176j),(-0.595502302071596+0.21350804453131858j),(-0.13292039585550447+0.6129795595663091j),(-0.12569409850175697+0.1089241161417423j)
53,(-0.1631354746366023+0j),(-0.027788325751133783-0.09990937015379939j),(0.32757434574187+0.23970829535026963j),(-0.5772291043465825+0.19735065937661037j),(-0.2513696917328141+0.4691777653630639j),(-0.1004350628153283+0.10379739356044548j)
54,(-0.2743014253638677+0j),(-0.28022270177257314+0.14282124567553772j),(0.3272590832992628+0.01454975083593836j),(-0.5564662573519944+0.09108552014392748j),(-0.12460130486456716+0.3663763140011914j),(-0.04897829702992199+0.13171633328599275j)
55,(0.6148565369588919+0j),(-0.20082417219622317+0.1604173744479158j),(0.4103052142715806+0.15474630461649724j),(-0.413082866587104+0.1240712780233619j),(-0.3121674062915155+0.024511088731145297j),(-0.02927397845218091+0.28678024844083516j)
56,(-0.6427050928768195+0j),(0.033642074987314474+0.22534713783134797j),(0.31149771312066027-0.19630341291117123j),(-0.6562608570986282+0.3499364807627022j),(-0.4720897999128294+0.2448738157645456j),(0.10233653933011085+0.26787878572131946j)
57,(-0.7952701260458517+0j),(0.27453102281437736-0.012850562875029545j),(0.6370114777131213-0.2926309264182453j),(-0.46539734756350576+0.18494477705130488j),(-0.46304682061254565-0.20371392470765026j),(0.17508140001329187+0.48497418651886637j)
58,(0.42137718940357904+0j),(0.009085972157276453-0.10129090796668751j),(-0.1510530260402076+0.4823918779269213j),(-0.38861380715635696+0.11042017995906711j),(0.053250778096020246-0.18744555729053894j),(-0.49655031037489056+0.32240816749025836j)
59,(0.15609790469106888+0j),(-0.04807392884360685-0.221315688157128j),(0.39023634195793033+0.11152351531258015j),(-0.18686699817775076+0.6663323716233568j),(0.08916549012423455-0.025701402882916724j),(-0.1860301970759755+0.03260414650457722j)
60,(0.3597629902491434+0j),(-0.47196098840075157-0.10766624621767734j),(0.2933379110561026+0.011039482883937357j),(0.17740282164442964+0.053856367773638114j),(0.2949721753417519-0.2904985647951658j),(0.059760131705667976+0.10830528260488578j)
61,(-0.08217621701754357+0j),(-0.3156300630292933-0.07471435387570562j),(0.46819842719971133-0.043989321749474425j),(0.31527909552223254+0.09211026270316006j),(0.2535885912679512-0.1931149394311787j),(-0.13130614131557958-0.01639679850439344j)
62,(0.1677927871381077+0j),(-0.40369193146095145+0.28403478385601255j),(0.5123157583376013+0.010371986223760739j),(0.4393921138929714+0.19115023391566677j),(-0.22866379481281005+0.10887622761069277j),(0.15136481763382414+0.21240501399478967j)
63,(-0.6913094567173426+0j),(-0.3834018045774301+0.21564184519076465j),(0.18119358921611978+0.13556160189276759j),(0.2368407251926456-0.14464282260317876j),(-0.017793331549503168+0.91045554306168j),(0.33412547091158185+0.07216750158449303j)
64,(-0.0004628791090026674+0j),(-0.1517675679318384+0.15983528639151592j),(0.5230148561497708-0.0033726661325616802j),(0.6429091788911632+0.06490854220441739j),(-0.06632608210862402+0.05713028043630772j),(0.03139073885170651-0.06538178885222498j)
65,(0.8068666322992186+0j),(-0.27523431015457367+0.06599561931425758j),(0.3177871830612902+0.13238867318405165j),(0.7822878743444555+0.30473028410674785j),(-0.24501369401687115-0.12461654108885925j),(0.18191881766357348-0.006264259254589927j)
66,(-0.07075888221835364+0j),(-0.364820474877021+0.14374035103171082j),(0.36590051434442494-0.049581900382676375j),(0.007462949922046103+0.041614061177831355j),(-0.2365191255286973+0.15907461837622558j),(-0.15161265377236396-0.0984579890639376j)
67,(-0.06921443257019072+0j),(-0.15572232067387526+0.09238355969158378j),(0.3981998208157851+0.38150718269598294j),(0.581199483863694+0.08787885715961041j),(0.26323464676364394-0.016126750758714795j),(-0.08229276171548888+0.09262970668973708j)
68,(0.5952087852575005+0j),(-0.06895670479423222-0.10444783085863985j),(0.39005376778478107+0.5310749971655462j),(0.05858773565217101+0.7179135301822204j),(0.18225003477676863-0.3313234343555248j),(-0.05041304450130849+0.1696761465893818j)
69,(0.5952087852575005+0j),(-0.3256509337459786-0.07576801746894385j),(0.4178080812979744+0.4240508858690213j),(-0.06873569182582445+0.5747723714695655j),(0.023624499584770614-0.24009757326623815j),(0.016645053408322424+0.32405008933634405j)
70,(0.2209428944539349+0j),(-0.31486514998258497+0.032855433654579505j),(0.020124219300184612+0.3458251034978135j),(-0.535818154248984-0.059171255412193924j),(-0.03465896715719418-0.018802822904203265j),(-0.17682673997393955+0.11631872760778303j)
71,(-0.03965246776367359+0j),(0.09302180826279566+0.016355706704427403j),(-0.007529063083215208-0.00605953827434913j),(-0.7874030258663407+0.2499000824162715j),(-0.11333050086801824+0.17842848943999823j),(-0.0833769372016532+0.0003526701101749796j)
72,(0.1919400101429567+0j),(0.07420196240187457+0.009917700541499017j),(-0.05342913822099444-0.005113601482330891j),(-0.8966527913623463+0.5104992879640592j),(-0.19661109246458558+0.1650139132148097j),(-0.11313182816418325-0.02778330495509293j)
73,(-0.03276986350242639+0j),(-0.025862389339675357+0.0003629602029862414j),(0.30136047315566045-0.004576795214452822j),(-0.6663501101535297+0.18655800757350183j),(0.017789886318833215+0.0571483586588858j),(-0.256343335826132+0.11908275343124071j)
74,(0.11824048165064976+0j),(-0.0918936694220425-0.019148091531315508j),(0.23744551313378964-0.036230089185653805j),(-0.7397346224031991+0.20698478352402694j),(-0.14923100426664537+0.09999519103859125j),(-0.30481556485037425+0.15134382939501562j)
75,(-0.28257410089258944+0j),(-0.30244201417881733-0.21179572943942665j),(-0.16331090163078432+0.2600463096030725j),(-0.6117715694680088+0.5765769512442075j),(0.06216678417531101+0.2324463597791246j),(-0.150473620637361-0.03275790146876456j)
76,(-0.09833153881232412+0j),(-0.09371960819240294-0.2997967922222413j),(-0.0525789410611375+0.3341444797689529j),(-0.1935124611080495+0.5320896342938801j),(-0.10586137176303327+0.14882366356906732j),(-0.339622972569702+0.013122607487391332j)
77,(-0.34214414240875457+0j),(0.021583419773676615-0.2270093013251522j),(0.031607718261919826+0.579560685565904j),(0.6571393714309657+0.5320767506258292j),(-0.12217253134889149+0.3115476303948719j),(0.03851778942404119-0.017635684529285895j)
78,(-0.43583179817733203+0j),(0.04057808636882908-0.08883942438063126j),(-0.1123743748557767+0.3012541958646096j),(0.8258840281203285+0.4928605478944395j),(0.0961008238003132+0.2364575115571396j),(0.05001831729369959-0.2549276321229006j)
79,(-0.4336923748895958+0j),(0.19383242430446368+0.022605322258684515j),(-0.33554216868513653+0.1881931337818888j),(0.7306768164524448+0.5863775140219909j),(0.13583200572602055+0.3436804901918915j),(0.0029259382104952006-0.2701084767907579j)
80,(0.14481258409375164+0j),(0.22116905341118456-0.1291153629178753j),(-0.11095394014950315+0.31020161578972116j),(0.669345839268464+0.4084076570763543j),(0.02582306040535815+0.4253211050535703j),(-0.0963891708382299-0.26067537872992486j)
81,(0.0963301418841114+0j),(-0.03698724895697375-0.32684075706496357j),(-0.08018906408366772+0.48571176885698797j),(0.7690014926840634+0.24503649276625364j),(-0.04631002485600488+0.32458137848045415j),(-0.19553144378619425-0.01722637451931426j)
82,(0.6450558734899561+0j),(-0.003159162655697682-0.08326352452949337j),(0.06843037962102758+0.37069484962321214j),(0.7697850868014415+0.38823252028156513j),(0.06119846542446041+0.33662179334272574j),(-0.32287385122637086-0.1839038624618855j)
83,(0.2482680018864928+0j),(-0.05223617809330817-0.20873435357305958j),(-0.022054701827337986+0.4648081959731202j),(0.5283915497600148+0.5830101015298366j),(0.02408938285342797+0.17165050608133936j),(-0.17683326985022585-0.22972599509442798j)
84,(0.5952028355110499+0j),(0.04631543347306016-0.045957544569056215j),(0.1371431443745607+0.512351280375894j),(0.7264212344814404-0.01840386890266532j),(-0.23459017427980713+0.12359529955228615j),(0.11325971177612776-0.05510604304931379j)
85,(-0.5137847176553252+0j),(-0.07904593275828828-0.21208529766254275j),(0.2561257225653426+0.3123862970891362j),(0.973035033442901+0.21384523701381614j),(-0.13553060572567097+0.16109063318048228j),(-0.2369797718433236-0.10202415449750095j)
86,(-0.6529287535382583+0j),(-0.2563735520150788-0.05081924763020573j),(0.2599035596217236+0.4576521396080747j),(-0.22717021144983227-0.04899408005350331j),(-0.4912155786011499-0.09888774091339746j),(-0.20614167273240505-0.34703945291591826j)
87,(-0.43303662225549483+0j),(-0.031737660786777394-0.09994316972105216j),(0.379016303339376+0.3149290302489131j),(0.015294009315732146-0.6270743775268877j),(0.389904398453033-0.5786381197451704j),(0.09430211801931818-0.0065486778361868725j)
88,(0.31999784994812935+0j),(0.03456665787058235-0.1351262362210408j),(0.20007489093797262+0.23666125456236853j),(-0.08855968042014216-0.9444983778335743j),(0.19666256379362268-0.4277029745695804j),(-0.02253035420074797-0.1653648875499565j)
89,(0.30085551772586294+0j),(0.11360230915285625-0.2670468869130124j),(0.2280442079632677+0.5498427606717607j),(0.03166917193967328-0.06201152892788072j),(0.08998310810570999-0.47295109778221933j),(0.08337659635149225-0.23923073647335164j)
90,(-0.1523562006184332+0j),(-0.002908524450246447-0.18192765174125983j),(0.12305143458559563+0.11742559042636797j),(0.2570825782287663-0.08436363975570921j),(-0.48462315105481046-0.6083600624180712j),(0.2056656012082745-0.12146476691425157j)
91,(-0.8515899458264558+0j),(0.030363324777097772-0.10949074019878241j),(0.01824887300853409+0.23789795478207998j),(-0.01008372060358368+0.38528276019157126j),(0.2145468565295367-0.8943958783437359j),(-0.07257614111685823-0.09134280501038287j)
92,(-0.09546188426555863+0j),(-0.04931230764806162-0.13494083831272738j),(0.04136274166739852+0.09462316060053871j),(0.21074141678250502+0.15933430484914513j),(0.2927823894232878-0.8526877748136572j),(-0.311194926615032-0.06882353366556145j)
93,(-0.5257983053276779+0j),(-0.1000204417775266-0.06513917067255012j),(-0.2773752145481847+0.33410349339265333j),(-0.36674796746496174+0.49892638635445946j),(0.2184536784074792-0.29748719249425354j),(0.0511745571976705+0.0800189792144054j)
94,(0.10584027172244925+0j),(-0.3759996654894942+0.03634729791956384j),(-0.29490536497906694+0.07227507977157174j),(0.5348086894745798+0.5938544928457983j),(-0.12008043213443804-0.0846391523809891j),(-0.08668097297624089+0.03501844725862948j)
95,(0.17898706248831878+0j),(0.0147905605186813-0.09978817445120153j),(-0.24379892314883223+0.3745341308905625j),(0.4386363920162365+0.7323390412443015j),(-0.39221160727125415+0.19875189371914068j),(-0.0901333250878877-0.11733521539948301j)
96,(0.2875846622693129+0j),(-0.0963059966973854-0.11216501915679343j),(-0.21652332969537502+0.2834740226834771j),(0.5686061530782948+0.27434603761914694j),(-0.22439601619331145+0.2421608303385775j),(-0.17419461785255447-0.21459722104157147j)
97,(-0.1419190690395265+0j),(0.3425886767931443-0.10877268475023881j),(-0.009951809021146618+0.2571813148080557j),(0.17367733307656252-0.6444865365563565j),(-0.28883441519720193-0.09707222186495101j),(-0.23845891879280007+0.05343613043146708j)
98,(-0.1982885994897995+0j),(0.135309007646782-0.08997283338405772j),(0.12593483839955463-0.18650667416279465j),(-0.0947431715930826-0.5552465111953088j),(-0.3771785078370541-0.17070100136645486j),(0.3063160086054582-0.2621131645325131j)
99,(-0.21383147461050692+0j),(0.35351090789166856-0.0011084725170588394j),(0.4223138646451442+0.1152242261682625j),(-0.6508791779583218-0.10417077283805025j),(0.02181527570262268+0.08447448804804739j),(-0.2145891167546487-0.2506103217913228j)
100,(0.23976877212851536+0j),(0.3075158404709593-0.01114405774185959j),(0.23500833413849134+0.07028301244038579j),(-0.4345594356681098-0.24492328077262016j),(0.24519898391665287+0.3240898601218068j),(0.19133711786182453-0.0265240098125345j)
101,(-0.47903759475793717+0j),(0.44143997849536554+0.30954200695245526j),(-0.21007828176706644+0.12086291922683931j),(-0.2284892634663248-0.0068806465091529115j),(-0.21968283948229073+0.09069584062921895j),(0.12090231355604733+0.0838077749230567j)
102,(-0.1195301370177641+0j),(0.03909758137297527+0.3145385843076245j),(-0.2776536348612555-0.0203518919454172j),(-0.8434227994189405+0.12110813041919405j),(-0.24942480349658944-0.008964487736205132j),(-0.0005845246407435584+0.1817509274980721j)
103,(-0.23486406085466927+0j),(-0.12798771312109003+0.08463189887482014j),(-0.15718916736253893-0.061912926500411136j),(-0.7943698909475522+0.5153709557140884j),(-0.11114110217568719+0.019096411883264046j),(0.13916440738813815-0.03751911797335977j)
104,(-0.24140793899283608+0j),(-0.03419324958198838+0.22789286355820673j),(0.05262780050659241-0.14596280689001911j),(-0.6625115037951785+0.4180169730380359j),(-0.2797973608752312-0.18217828665570748j),(0.08220887549562264-0.043026658614913844j)
105,(0.7331188286671984+0j),(-0.02295748659013933+0.005114817677318181j),(0.03114056730184675+0.13936620192572746j),(-0.9277078760780069+0.431986785823967j),(-0.11910406892861883-0.13394020845592475j),(0.046600236304464235-0.040263801920959644j)
106,(-0.27412885719359426+0j),(-0.14870233964403198-0.048487482156986124j),(0.16376673563562105+0.06391679053033755j),(-0.6755714503388341+0.16832586331321786j),(0.3227865489270858+0.12955063102822575j),(0.15017876514237444-0.1624619041735068j)
107,(-0.05386890610055961+0j),(-0.19060975826631615+0.06979604495979752j),(0.30006803199400045+0.05947535674266817j),(-0.7352929453656543+0.273682064289538j),(0.2541624567754266+0.0660860774296039j),(0.07862481801564272-0.023062768418131263j)
108,(0.12028349117913367+0j),(-0.13847754900305348+0.15553042752608745j),(-0.21803441101362683-0.05566890440705927j),(-0.594396439983325-0.13993495322481253j),(0.5805846737298297-0.02574540823973706j),(-0.016675494788239056-0.07567369595072446j)
109,(0.37842688938235836+0j),(-0.034730154571054536+0.3920412227956002j),(-0.32826749737508704-0.17806058732495492j),(-0.40199387059323977-0.5319584493107596j),(-0.1687610748863349+0.1428919290051855j),(-0.05337594088364112-0.015243569312523724j)
110,(-0.033714092992511664+0j),(-0.10769249676979661+0.24329718457554478j),(0.013705706083950268-0.06676045933998367j),(-0.08857516235912793+0.3737708940741363j),(0.6366204990869235+0.29424530681210836j),(0.10693214195810187+0.04697362133799274j)
111,(-0.02832690468609064+0j),(-0.09043732936462753+0.22311192321458942j),(0.10567326637223443+0.06969632904861714j),(0.16910938023164795+0.49319700570820024j),(0.5775375940654496-0.27241384100048016j),(0.2635318108128694-0.03327304349588374j)
112,(-0.7895301566282914+0j),(-0.167382276439135-0.2825160280828376j),(0.01871633236093511-0.023974236479787744j),(0.07178031934578892+0.6262633021681838j),(0.7627036674809134-0.35864415045531495j),(0.19422298676642324-0.21252956947088555j)
113,(0.3110647811914661+0j),(-0.2888625121838209-0.06514888542471967j),(-0.027142842820612675+0.07358821280511976j),(-0.1569768274229692+0.6569045723043716j),(0.4617531555105654-0.3475999042800254j),(0.1073825927458884-0.2268728781624027j)
114,(0.4320494767569102+0j),(-0.22671806826013108-0.04695697151405097j),(-0.252292980729826+0.1032482472519035j),(-0.17807909811920392+0.24197485357025666j),(0.29134563016035553-0.397436921680648j),(0.061734462496195894+0.2293069245303786j)
115,(-0.1429580404886835+0j),(0.07728064094714021-0.05088628510211507j),(-0.2744318998550022+0.18095270550574669j),(-0.592062416060008+0.7662952249912514j),(0.19448421338595326-0.3346372203876209j),(0.20381315349299445+0.13362918468190774j)
116,(0.08899797589857955+0j),(-0.33449145122955914+0.25696114363807054j),(-0.08498207208174195-0.03215242651682069j),(0.31049169742811783+0.3700809470633554j),(0.21884113184941031-0.19864387092387478j),(-0.08752993459275574+0.14763094471811616j)
