,amplitude,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6
20,(0.14826339234363106+0j),(0.028906386473976885+0.04011554663137092j),(0.03249535622008703+0.04288829129162655j),(-0.007039616582959833+0.0889112088929474j),(-0.027050245860326685-0.014974882763161324j),(-0.1070279741151179-0.13103626428933388j),(0.134939021889103+0.013944491914450395j),(0.1087241018054818-0.11973299447122046j),(-0.013325710532308849+0.07457953937164423j),(-0.2469741721733786-0.03554207598499089j),(0.0037171875058369633-0.11516321327918697j),(0.04005205549741326+0.06496869654346822j),(0.05970433918338082+0.015306881606924545j),(0.014343876788241509+0.0956551067162705j)
21,(-0.6879431484792146+0j),(0.15946456702089262+0.04033394098396323j),(-0.008386402376935618-0.017906169259992312j),(0.005389321275815731+0.0909926940255603j),(-0.016241480507947367-0.06306190573066459j),(-0.0816303725833062-0.09075312541391431j),(0.059447784045076967-0.11696445370488473j),(0.1914045911492073-0.1538413009930074j),(0.10367030704846125+0.05515413112756143j),(-0.47096075436519425+0.015189122901996758j),(0.030162529532519095-0.2155976434528187j),(-0.08741902053357392+0.047138092084257864j),(0.12525191674437625-0.07752964896902498j),(-0.031164720521151934+0.06401327010111293j)
22,(-0.1469150586994563+0j),(0.05283761133347787-0.005994203781685319j),(-0.054538099537187634+0.038998915297387964j),(-0.04303462030551301-0.029884157771275524j),(0.027634567687444513-0.01318448773561259j),(-0.04273718797803408-0.20839005993417584j),(0.058455554265200854-0.1419675996560327j),(0.20420319396141526-0.25792927639625157j),(0.10113066597719816+0.009944577123839633j),(-0.5101608252075966-0.09500573639783312j),(0.12961884502979903-0.21230206113037647j),(-0.12998389465465007-0.00960689115494559j),(-0.0830397659594607-0.08007296479890325j),(-0.006426086205824902+0.13883381281159796j)
23,(0.3066550522711651+0j),(-0.047477181711141195-0.07348980583631322j),(-0.05296101628276373+0.018387979773969703j),(0.002357011373109716-0.11411543756985978j),(-0.04282632550335147-0.08430928592247053j),(-0.08456008255975907-0.1607307805988213j),(0.12775362620810898-0.20071456498802048j),(0.3148003945726303-0.26699046571950963j),(0.36236690457666676+0.008832031733569785j),(-0.6518818151989485-0.13383029685315154j),(0.20063090583007107-0.19583036832523626j),(-0.05082315649490012-0.05793584183574017j),(-0.09814095828603411-0.09406113720537759j),(0.04818595073488468+0.011508006071405348j)
24,(-0.6332175587895685+0j),(0.05007516856021181-0.0056173283757801114j),(0.08508609127344227-0.08622361742181663j),(-0.11435646754158599-0.07892311201936905j),(0.09997959815991041-0.19985579685679125j),(-0.0063345508162130654-0.028108418771980052j),(0.2298689655730985-0.30748433586509133j),(0.1275279327707184-0.43846972552287666j),(0.3552963023110596-0.05725644601950919j),(-0.4838231452495617-0.09214019204006742j),(0.13072925747609956-0.20329642486624255j),(0.00370439104136297-0.1143455102233706j),(-0.0009710506495145405-0.041211005770058j),(0.030632970128425793+0.16138808970897847j)
25,(-0.3837928343721747+0j),(-0.10290582648938765+0.021665579619050183j),(0.0067483888478373595+0.06817037259361854j),(-0.17633590565767163-0.023460063758231644j),(-0.020701112267410088-0.29703508988826754j),(-0.008057408811818781-0.006740108923694126j),(0.10669817794660282-0.20786835703791753j),(0.2209675219364444-0.24438007180919089j),(0.3366855862623679-0.1234291429678043j),(-0.47846538956900736-0.03653233939373742j),(-0.0006668944036090987-0.08736876382376965j),(0.04761892754521006-0.044797370941267574j),(0.10169339154123139-0.06552205564375316j),(0.07034081124054165+0.0062417531457888j)
26,(0.6458287360053229+0j),(0.011095925316541314-0.09238745673876876j),(-0.0045613319190605135-0.2100399881212325j),(-0.12372149594919275-0.1433963436744419j),(-0.14232234962675602-0.11770487912318443j),(0.04589143449779766-0.09297701465987723j),(0.00655581958427685-0.30898394604854784j),(0.052018851417117706-0.13750204720054715j),(0.2254106704216431-0.2876352908699059j),(-0.5143044357111558+0.0790041633879171j),(0.011399309987570749+0.011148338652906348j),(0.031143240395441533-0.13859998211796978j),(0.2110899335910544-0.1151770210790123j),(0.09943056551723228+0.07137977022300432j)
27,(0.03811740630297811+0j),(-0.0027638624663017452-0.03433308255731289j),(-0.03218562655723305-0.22198321975461793j),(-0.005472655697366373-0.19890136944191367j),(-0.14376787605908448-0.16474003922318783j),(-0.058427286133997204-0.07387387712211504j),(-0.03536094526044418-0.34322628956473883j),(0.08764652703221312-0.13983328413135093j),(0.3314699605216426-0.3032943197706562j),(-0.7639612484016665+0.13399404662106523j),(-0.12490151348982359-0.10274062884759086j),(0.0047816365180871866-0.08780354820912159j),(0.1850374212959883-0.16363025514013774j),(0.0694338342073932+0.046920659935747386j)
28,(0.5033276972580132+0j),(-0.11495443603898858+0.0030867532840220258j),(-0.023619135845679103-0.23425988547052415j),(0.020078131479500626-0.2866660119721707j),(0.02597734525355884-0.002371357264687908j),(0.025166951837592644-0.1570144542529285j),(-0.06120034432750637-0.2804787690932814j),(0.2550765514749636-0.02694346894107498j),(0.37877745010738684-0.39246190709119905j),(-0.6910528455050475+0.06000510564277975j),(-0.05123610561597026-0.09745628383642194j),(0.06984047928708495+0.035584303128338365j),(0.07991282837349117-0.14310107193542126j),(0.07880261088242799-0.036366544192850195j)
29,(-0.00256415426601643+0j),(-0.06587731364709369+0.0026839574545609104j),(-0.13858171653238344-0.057996533222624776j),(0.133019615712991-0.23103380129338433j),(0.07021715760009384+0.05886936682292572j),(-0.05394033772728787-0.1262258992766664j),(-0.1906112033214399-0.22802158101428374j),(0.3121608973119552-0.25503112528598465j),(0.391378387473092-0.42972708280002286j),(-0.5675231706871743+0.011129380379815722j),(-0.04093682701162203-0.08533441284650112j),(0.004690133228001405+0.09359915612411994j),(0.07358174845531379-0.17840623891506743j),(0.009573025849615394-0.0288037791165035j)
30,(0.5897511171852559+0j),(0.047492042234336534+0.04945864964918392j),(-0.054677983641026384+0.01661322393652553j),(0.17001245891873187-0.22208918516723467j),(0.2828549958817785-0.09627884794781716j),(-0.10000302040278228-0.12374665634988494j),(-0.12462679555522166-0.12534313335445918j),(0.3343572471813433-0.2715927326482861j),(0.3943141203426149-0.4138536950425283j),(-0.42674285732156+0.0744042824086363j),(-0.01437604113227693-0.19071037548241776j),(-0.052369359853342706+0.13317596940174253j),(-0.008954984248123531-0.2554711524170341j),(-0.011837227588157782+0.02976491693878905j)
31,(0.5590151288319821+0j),(0.04305164146436009+0.09025366429300703j),(-0.007402192199264792+0.022052958168924025j),(0.08378906454685509-0.057144753189413255j),(0.22836248770502002-0.09679902157129253j),(0.06382893637464214-0.09758361914345864j),(-0.07870798279010488-0.07058074183028337j),(0.31842834026717437-0.21907063502357663j),(0.4176343996462037-0.29661151222299237j),(-0.42070682198985415+0.13960889654227251j),(-0.11401791465556486-0.16196231496034344j),(-0.17647727638720748+0.060028792045203866j),(0.0623827171400204-0.19459568263885701j),(0.004090473338302973+0.15597788019417735j)
32,(0.24703328289647297+0j),(0.08141335580698604+0.06650844392136278j),(0.049828110556046995-0.002200021666505618j),(0.056648210827736245+0.13018990285843185j),(0.19370359573680568-0.10440927950908875j),(0.1283565669787226-0.2653398641675292j),(0.009791967853164902-0.02975168581718833j),(0.39418628744644635-0.23245569612170872j),(0.4612997999102007-0.21993462173259676j),(-0.3943580429679155+0.23854301169504766j),(-0.1870202482791372+0.13127932412791515j),(-0.02992709314339631+0.011793033407834198j),(0.09779176956876946-0.041410975458957125j),(0.0285581004004823+0.05199416882651024j)
33,(-0.615883048120637+0j),(-0.0006974619583813692+0.03035682635793808j),(0.025034030733507212-0.038771710719806673j),(-0.01568096579765321+0.16858918661557726j),(0.12181182017918521-0.07341599681462208j),(0.11350897627467266-0.2575261682328766j),(-0.021909339503486662-0.0903431192884369j),(0.2935955505012179-0.09877466586691418j),(0.2671429177796629-0.20591325452430767j),(-0.28679982521981+0.2327322210695682j),(-0.22233937794735698+0.01812060725906969j),(0.03299471442381931+0.07347878903467245j),(0.08667296986595563-0.06553256771290702j),(-0.07371677307267396+0.09965390271371707j)
34,(-0.5506462469576568+0j),(-0.01580026177456421-0.08487436932727124j),(-0.14376559610228823+0.058760372397746174j),(0.10197259951725667+0.09757872653627236j),(-0.06638775830013625+0.0039095697766656085j),(0.23279125971450665-0.1348250901046787j),(-0.03617366564114706-0.04273348630358673j),(0.18976165175198179-0.07142891145213946j),(0.3387199982757461-0.16657834436434762j),(-0.2099543996536957+0.2575481106870081j),(-0.10911424911833265+0.15748652680845932j),(0.10317513043635579-0.011979438241263823j),(0.08428123467974794-0.07254616072582057j),(0.035852974904571844-0.007686612570549832j)
35,(-0.18841356232827922+0j),(-0.025426699767056547-0.04351290661376507j),(-0.1467146706774321+0.04771115330112665j),(0.050144409945054286+0.002291035572626608j),(-0.09347893207908263-0.0606724999159725j),(0.2657798779923686-0.11567941444111388j),(-0.026691854142200037+0.007558644812405689j),(0.21881970922003569-0.10293885912403204j),(0.3507144411696673-0.028344025572375225j),(-0.21590089811190152+0.1920768418125185j),(-0.13470551356763688+0.15682923929978876j),(0.0809208389654267-0.007937522042173403j),(0.07647203501060422-0.0986086395749657j),(-0.08420965642066468+0.01629610700764727j)
