,amplitude,c_-8,c_-7,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6,c_7,c_8
20,(-0.5334101153934733+0j),(0.01722387857339188-0.07625580894643771j),(-0.07522320706765097-0.04326510047497738j),(-0.022658850906522157+0.026259274710310324j),(-0.053545932565238076+0.0015844379775826756j),(0.039612447268364506+0.15398130407523303j),(0.057484040083276906+0.11436300494695231j),(-0.10513093341253647-0.09393966278982374j),(0.33692676661720955-0.20609144974346805j),(0.1769297354580727+0.20206956456227831j),(0.06491895456363027+0.10907268700606484j),(0.2270228085992948-0.09597673908495633j),(-0.011370341480137554-0.05333872833642749j),(-0.05371110284197157+0.029275157499811494j),(-0.09434248864571007+0.1298003006239076j),(0.09752507761149426-0.015567725279493821j),(-0.07744120584758885-0.0024935058707136375j),(0.01374264242313224+0.05162279441417388j)
21,(0.1102412659324391+0j),(0.028862181656669244-0.029957174189621828j),(-0.08917243094633188-0.03337989443897112j),(0.005222578530560822+0.027331920500241573j),(0.01013632778748181-0.013585236315558708j),(0.04933050111912993+0.13691446507912705j),(0.08264758293992673+0.11766290449641766j),(-0.1394194378471879-0.12064968008403867j),(0.3117012654334978-0.24962172389498463j),(0.22461939024480423+0.2034196568006445j),(0.10499454881824338+0.09626451553742565j),(0.201682126775931-0.06690235879701274j),(0.051023505546361966-0.07707031874293904j),(-0.017913294833665962+0.03677686894428233j),(-0.06376298805541354+0.08284827541390827j),(0.08129694501543976+0.058261792086017436j),(-0.006449889574424175+0.01155299976063189j),(-0.036200840556801755+0.04691647034632693j)
22,(-0.6963753115719044+0j),(-0.03764246339886257-0.0008306766867849369j),(-0.06260518506128768-0.04976550356933863j),(-0.007511956095921719+0.012497908807159685j),(0.011374606220959906-0.056534192977134794j),(0.027257986764393304+0.1803959995699795j),(0.054667562934516634+0.11105641718313473j),(-0.149071445766196-0.07639885052961362j),(0.2547628315931834-0.2282892093892318j),(0.1516167992941937+0.2009850371983902j),(0.07221757595168184+0.09086638557026264j),(0.15342293188132974-0.0463508928798053j),(0.029962383566635865-0.11198957879969851j),(-0.01647160340162363+0.04965429955145509j),(-0.04547613366784796+0.0438367906439007j),(0.027564810542654666+0.032139030370354836j),(-0.04545908898488569-0.0026357699565892952j),(-0.009564513044899553+0.03926140268049512j)
23,(0.19377413673817556+0j),(-0.05913456890260468-0.04326640200905363j),(-0.00564055690769991-0.031088346320469275j),(0.0036762857822263675+0.04357842495663161j),(0.015280621611386883-0.06390156893160791j),(0.04633003669355509+0.17008170999504732j),(0.02878268664352321+0.08602732312927344j),(-0.10355953721176653-0.023972308832406638j),(0.25500700148409766-0.22164856238441322j),(0.15015703445224216+0.19310421242947395j),(0.14851909216795078+0.05436976113069149j),(0.12765671816236035-0.04413363209938899j),(0.08024226032372372-0.05604752426854691j),(-0.001711199715444884+0.04444383017871405j),(-0.0010938769593065722+0.07572062300384451j),(0.03300204418247604+0.08037416476927212j),(-0.0010802870692332989-0.04057641964561987j),(0.006318255496168223+0.011418897995788886j)
24,(0.3225758643375653+0j),(-0.058361020494611865-0.07774089201689259j),(0.04976675298985453-0.05450658962368474j),(-0.01036904830430658+0.027995362319518442j),(0.07207759906726711-0.0540267282614174j),(0.0029186733335498094+0.10477490391470792j),(0.03495703463579969+0.11561387067681207j),(-0.09249843362953751-0.08011390372650588j),(0.3287671708464446-0.29587965410851j),(0.21633503943323262+0.2520032671203934j),(0.08021287511141678+0.03584755000320203j),(0.07553680344276867+0.015196796617217373j),(0.0575717943314198-0.08449420262319328j),(-0.021041259577848893+0.09866407039525357j),(-0.024795217097196585+0.04000003537832997j),(0.022762502154489453-0.011285870746605751j),(0.003469250969550957+0.019333619539273452j),(0.00658779843750607+0.01171466332206985j)
25,(0.3831793208713211+0j),(-0.06493871913879289-0.05150561971097438j),(0.08707060499622-0.08903436731212276j),(0.032303900680790074+0.029252990513544293j),(0.1313470770897141-0.04258837260061604j),(0.057071620551308135+0.13358599705889468j),(-0.05230878640175787+0.15638559364003923j),(-0.12969009876103865-0.037409629902954364j),(0.33482048847396867-0.2230672104797782j),(0.17011207044236498+0.26583955163279094j),(0.0776579492830022-0.04744608143430251j),(0.052667095403617414+0.03692252496846067j),(0.024770109627845528+0.005664596859027108j),(-0.014475736212616889+0.08223301785544371j),(-0.026246967633567916+0.006489827486810526j),(-0.04035907712256668+0.021437059886566776j),(0.03269354946874547-0.036445820459850384j),(0.026986330594384173-0.025909989042884878j)
26,(0.7008026297846822+0j),(-0.013707254932237433-0.04602739730966347j),(0.11237058036240814-0.060435579194716316j),(0.027283631443675446+0.0445321759849236j),(0.14579292415587602+0.020894013174253115j),(0.04582208819080477+0.18910527213113582j),(-0.006556587925530627+0.2081846720686547j),(-0.130291393822524-0.04056316660242263j),(0.30078154111781474-0.24661105575820721j),(0.09998264562378963+0.2542077872674263j),(0.13792866806785303-0.026057970100432284j),(0.0661638357022773+0.030036014703626265j),(0.11911544297840485+0.1070187658092657j),(-0.01594902465617145+0.06657295903873384j),(0.03353062985787027+0.01593849906547603j),(-0.011873693299201491+0.06830965094609137j),(0.05276614370892946-0.002268486638926784j),(-0.056740112704428074-0.015329530706390856j)
27,(0.4595793759290298+0j),(-0.007495788284936434-0.08217409520597792j),(0.09398688898428025-0.08542932388802496j),(0.026171207347172976+0.12363061575007615j),(0.11108449575334264+0.007677284037061359j),(0.016963874690028975+0.08139950741885031j),(0.07432996784018317+0.1703386382272342j),(-0.21960297632978207-0.10350761593095385j),(0.27086544863869344-0.34827799035148915j),(0.14753241830551034+0.21883142659975194j),(0.16035890840520878-0.11744569100904828j),(0.09723858760182355-0.059964773748305854j),(0.12322281941944854+0.06578056343833938j),(-0.10336637627705438+0.02476233306764822j),(0.09316154598860488-0.034745378380410405j),(-0.05233550946007417+0.06366369848445741j),(0.01797476519200192+0.030197398296578266j),(-0.03791783358218167-0.020533117064551694j)
28,(0.4595793759290298+0j),(0.001274533360035678-0.10149016872090852j),(0.07570507121728398-0.029336882414390655j),(0.02503275206520882+0.07970165974853821j),(0.08167495913007192+0.027506349588152807j),(0.040117893081699565+0.12834029007225634j),(0.03029468241290084+0.10829104523479055j),(-0.20393482157529072-0.09634177726421317j),(0.24139739052878842-0.3227501728931968j),(0.15670062819750738+0.20143444295402355j),(0.10400661300953278-0.06373529185772983j),(0.026741980268087016-0.013868873544509733j),(0.12281822709234051+0.043203404171429635j),(-0.09023028904156633+0.024970868581890612j),(0.01540359501726633-0.026093360450274976j),(-0.05608787050430916+0.05585370376443579j),(0.015846012651307372+0.02209685181501409j),(-0.022868316076563082-0.02509202530980196j)
29,(0.1408394118101488+0j),(0.02607338901605622-0.020064304908324337j),(0.044303770688082035+0.02718226940043574j),(0.0028674772184417475+0.05661803667032935j),(0.017256649727747986+0.07598277913878025j),(-0.028403140004268922+0.13711897355923666j),(0.05322777754657591+0.1090764385630966j),(-0.26575722212174424-0.1416098373904462j),(0.2643155852263707-0.34201733236472076j),(0.11965308199202618+0.12085136039522003j),(0.05362879337556488-0.10691550589347189j),(0.038562145363906924-0.08808766027106425j),(0.175876287812176+0.029661974503908325j),(-0.08049577159850385+0.01181863581157558j),(0.036000174646277666-0.10164130483135475j),(-0.07530570508900701+0.07124425525527722j),(-0.029396643484936678+0.05191138203758042j),(-0.022525046393133-0.02493248383374731j)
