,ampiltude,real_c_0,img_c_0
104,-0.6988412057185478,0.0,0.0
105,-0.6969306277617106,0.0,0.0
106,-0.6863310155824377,0.0,0.0
107,-0.6863310155824377,0.0,0.0
108,-0.666785306729025,0.0,0.0
109,-0.6897195016021576,0.0,0.0
110,-0.6917731509583704,0.0,0.0
111,-0.7022170327084429,0.0,0.0
112,-0.7095628686611654,0.0,0.0
113,-0.6931221222881865,0.0,0.0
114,-0.7111885635621218,0.0,0.0
115,-0.7109124651710442,0.0,0.0
116,-0.7223540145448125,0.0,0.0
117,-0.7107561760774497,0.0,0.0
118,-0.708572962150483,0.0,0.0
119,-0.6637523190033657,0.0,0.0
120,-0.6755726163468061,0.0,0.0
121,-0.6960421679764635,0.0,0.0
122,-0.7052290702643638,0.0,0.0
123,-0.7063381752118718,0.0,0.0
124,-0.7063381752118718,0.0,0.0
125,-0.6999023951882783,0.0,0.0
126,-0.6999023951882783,0.0,0.0
127,-0.705069204014469,0.0,0.0
128,-0.6787009206287525,0.0,0.0
129,-0.7037507074073103,0.0,0.0
130,-0.6756015372158476,0.0,0.0
131,-0.6939117035913429,0.0,0.0
132,-0.6939117035913429,0.0,0.0
133,-0.7138080285307487,0.0,0.0
134,-0.6644904421906247,0.0,0.0
135,-0.6955149123439206,0.0,0.0
136,-0.6969798382588842,0.0,0.0
137,-0.6805446536535155,0.0,0.0
138,-0.6955234076916164,0.0,0.0
139,-0.7045626466415852,0.0,0.0
140,-0.676039424990657,0.0,0.0
141,-0.6781228592379075,0.0,0.0
142,-0.7020386442218088,0.0,0.0
143,-0.6929546902303023,0.0,0.0
144,-0.692095669815758,0.0,0.0
145,-0.7135839935585897,0.0,0.0
146,-0.6926654745019561,0.0,0.0
147,-0.6944796560640144,0.0,0.0
148,-0.6945763675569523,0.0,0.0
149,-0.693028587514935,0.0,0.0
150,-0.678781144218224,0.0,0.0
151,-0.7091167128372806,0.0,0.0
152,-0.7163704506962404,0.0,0.0
153,-0.6998753988709241,0.0,0.0
154,-0.6751664015814213,0.0,0.0
155,-0.6983132494111058,0.0,0.0
156,-0.6983132494111058,0.0,0.0
157,-0.7234127086649182,0.0,0.0
158,-0.692716710864036,0.0,0.0
159,-0.6897440554212995,0.0,0.0
160,-0.6812645610167927,0.0,0.0
161,-0.67426062220816,0.0,0.0
162,-0.701759077731896,0.0,0.0
163,-0.6917793712233412,0.0,0.0
164,-0.7036526518893479,0.0,0.0
165,-0.6989047171198782,0.0,0.0
166,-0.6800751455671195,0.0,0.0
167,-0.6864157693164019,0.0,0.0
168,-0.6864157693164019,0.0,0.0
169,-0.7164459089567987,0.0,0.0
170,-0.6947457733690716,0.0,0.0
171,-0.6824946725411554,0.0,0.0
172,-0.7024152963202216,0.0,0.0
173,-0.6789828535427037,0.0,0.0
174,-0.6817859107409513,0.0,0.0
175,-0.6797054186615376,0.0,0.0
176,-0.7097802909203442,0.0,0.0
177,-0.679742100574702,0.0,0.0
178,-0.6883674888888099,0.0,0.0
179,-0.6974170212630965,0.0,0.0
180,-0.6961439297377534,0.0,0.0
181,-0.6846148513382344,0.0,0.0
182,-0.7030245065064497,0.0,0.0
183,-0.695223677201677,0.0,0.0
184,-0.7014055096901912,0.0,0.0
185,-0.7014055096901912,0.0,0.0
186,-0.6875186263738635,0.0,0.0
187,-0.6833512911284456,0.0,0.0
