,amplitude,c_0
129,(0.7485002903503095+0j),(0.2524202506162325-1.9850055610870319j)
130,(-0.6234941664905639+0j),(0.1947170170235124-1.9290973969263154j)
131,(0.9196380588064363+0j),(-1.2258612234709032-1.6114243408994693j)
132,(0.7718616825441893+0j),(-0.8401025550959431-1.8409940034522274j)
133,(0.6924412338598502+0j),(-2.0121915814038727-0.5392879947877168j)
134,(0.37971956580373645+0j),(-0.4563214962845471-1.7634564574498763j)
135,(0.14557894556098316+0j),(1.4038777951120005-1.329107594131313j)
136,(0.9061625574098747+0j),(1.224796443598497-1.5380100760810578j)
137,(0.44656321595775794+0j),(0.2635063054547726-1.9359275210927591j)
138,(0.5857956700349134+0j),(1.9915906781463588-1.045981346094118j)
139,(0.5449566678139959+0j),(-0.26007271480319977-1.993026619163997j)
140,(0.4996779642521798+0j),(0.42523265044801384-1.9831762362977103j)
141,(-0.6789009725403516+0j),(1.4563625252897539-1.3079962017707318j)
142,(-0.395838107362103+0j),(0.03863570066638068-1.9375499112469268j)
143,(-0.4127488574297695+0j),(-1.5009762097354304-1.5086839775158225j)
144,(0.6428051050869994+0j),(-0.9063543516259313-1.8010013276532846j)
145,(-0.28626948812451625+0j),(-1.812650817708869-1.0274511907547037j)
146,(0.9729262030016916+0j),(-2.0263502907250404+0.6518097886036484j)
147,(0.6367204586102102+0j),(-0.6850287794000396+1.9529334255832647j)
148,(0.0901603932089205+0j),(-1.1659587032315728+1.5711036530558613j)
149,(-0.7650888424603528+0j),(-1.2172087801249942+1.6817424843338022j)
150,(0.9505043229914165+0j),(-1.649564174711627+0.7511855873217205j)
151,(-0.6579055267689515+0j),(-1.6988934981340535-1.1299630896716646j)
152,(-0.8387408842569488+0j),(-1.4571796669057524+1.0588919154026302j)
153,(0.27335892720997496+0j),(-1.2199077035396146+1.3409154968863648j)
154,(-0.18134145549131309+0j),(-1.914783478301494+0.2952065267848683j)
155,(0.2763620920159705+0j),(0.1699383273576145-1.91945663726568j)
156,(0.5563043031206729+0j),(-1.3806794951402723-1.6022489489664768j)
157,(0.2846524699262065+0j),(-1.6713124826186754-1.077729733260227j)
158,(-0.14813227092673734+0j),(-1.2691419952607257-1.7104764344035672j)
159,(-0.694521024599208+0j),(1.4814474379015101-1.3395423942689995j)
160,(0.38572372679538475+0j),(1.974725974608564-0.521299023940979j)
161,(-0.959339801786296+0j),(1.9980048456167465+0.6913362601396313j)
162,(-0.4296673208667775+0j),(0.6633899604315477+2.015110892610373j)
163,(-0.9722267692108224+0j),(0.6234121878912101+1.7267483181294476j)
164,(0.547455455200328+0j),(0.86286166326929+1.916033391644618j)
165,(0.5208291132284761+0j),(1.775022808379711+0.7501065313926474j)
166,(-0.5334983414867823+0j),(1.6296560001240923+0.8447283395116006j)
167,(0.35728250981782583+0j),(1.747977425678788-1.0411865663096014j)
168,(0.41260600811318476+0j),(1.8640660893476593-0.8314048300464753j)
169,(0.5220644076307197+0j),(2.3109518166013445-0.3442478024457379j)
170,(0.3119657008730476+0j),(1.9941320967295622-0.30733690803327685j)
171,(0.24108586185305206+0j),(1.926121065585795+0.32872574350205896j)
172,(-0.07700917615462655+0j),(2.025268706203489-0.3989834024698222j)
173,(-0.30404914856984966+0j),(0.8503830633967328-1.4912127962057473j)
174,(-0.9971652038909742+0j),(1.7442610110006243-1.1044304094948814j)
175,(0.3414075012204636+0j),(1.145583340256724-1.3890366899547608j)
176,(0.5676778221405505+0j),(0.908875644345421-1.7239867258867894j)
177,(-0.44419760213401815+0j),(-0.29426286841490173-1.8184677719710518j)
178,(-0.6299134440766859+0j),(0.6036220704490539-1.7153600888952456j)
179,(-0.9504125258708483+0j),(1.2857988916090375-1.5684494751818028j)
180,(-0.7103202802902335+0j),(1.151571374184269-1.5749533447609798j)
181,(0.4556371646446472+0j),(0.6703120110751198-1.9976408479673442j)
182,(-0.08303333853478323+0j),(-0.6060599619441399-2.015880613746855j)
183,(0.24049036507505833+0j),(0.7819810611924901-2.105215499844282j)
184,(-0.5583692940229765+0j),(0.38888409801684776-1.754420261750473j)
185,(0.40531719011255063+0j),(-1.4972532930598224-1.505028504914804j)
186,(-0.4655767935119057+0j),(-1.7845090876451943+0.6811496526907795j)
187,(0.4605584977189282+0j),(-1.9572952395221423+0.7985635324672017j)
188,(-0.010588495307363839+0j),(-2.070147350836261+0.7545154249027939j)
189,(-0.43650731138476134+0j),(-1.7167979982287145+1.2515710608092274j)
190,(-0.7482144212759212+0j),(-2.118166503270781-0.34209331639592766j)
191,(0.6682016725312445+0j),(1.4285352721724616-1.1914830500615428j)
192,(0.8384109962341251+0j),(1.8883960498269678-0.7368114302020901j)
193,(-0.5966673439038742+0j),(1.9193181006434576+0.3574631965118084j)
194,(0.7646783667337843+0j),(1.295373620080252+1.6247247258891386j)
195,(0.6696280223438761+0j),(1.4794810151339806+1.2174503392566431j)
196,(0.466403758566295+0j),(1.2367462396164723+1.5703619719483495j)
197,(-0.8189606013460271+0j),(-0.07212147623125129+2.017951931313976j)
198,(-0.5117487464083941+0j),(-2.0010981462416435+0.6517656521898593j)
199,(-0.19018786675449317+0j),(-0.10191622588738797+1.9685558542689083j)
200,(-0.2135436017334631+0j),(-0.356041319521321+1.802593318468233j)
201,(0.9843135833803258+0j),(0.9012983214476917+1.7002539367479899j)
202,(-0.578569991063026+0j),(0.5806382202120828+1.795480212447333j)
203,(0.5392207457786216+0j),(0.23184998251092798+2.0544007853967123j)
204,(-0.38149403596048526+0j),(-2.0120241978164737+0.46638414645198456j)
205,(0.2786976686268807+0j),(-1.349676432792856-1.5721298881977495j)
206,(0.6411855473429202+0j),(-1.4052674427020233-1.3604019636268083j)
207,(-0.4351060648135681+0j),(-1.6888298495779832-1.2328115524947407j)
208,(-0.6669765716642485+0j),(-1.6445461329380455-1.1437578628940617j)
209,(0.2859917575985052+0j),(-2.249853751904576+0.5278091274001626j)
210,(0.535795997543836+0j),(-1.9009000218706344+0.6312228763536589j)
211,(0.9802618551769271+0j),(-2.229299062007496+0.34619580027239927j)
212,(-0.5103706307243085+0j),(-1.9600778569533186-0.5561763317956225j)
213,(-0.9499257550579578+0j),(-1.224547157817613+1.4089605127941593j)
214,(0.7114251458952434+0j),(-0.021853315797058404+2.0242709506731735j)
215,(-0.6815808608681624+0j),(0.5194476482523347+1.9452238802032193j)
216,(0.12635530526252414+0j),(0.352836542232174+1.8231512945343487j)
217,(0.7205375559856743+0j),(-0.30016162205978975+1.877311052701653j)
