,amplitude,c_0
29,(-0.9895691247259105+0j),(0.14779983559736956-0.4881406415288386j)
30,(-0.7575061178480806+0j),(-0.18393277820745377-0.4621793287144217j)
31,(-0.8235205000011387+0j),(-0.27455005960374257+0.22564831107767475j)
32,(-0.8788280381666463+0j),(-0.2335606128455457+0.27967785850041627j)
33,(-0.8896946293203729+0j),(0.14509785269854952+0.02632783992427159j)
34,(-0.8565944126757663+0j),(0.34778053824705046+0.48174712829637195j)
35,(-0.9791251644541116+0j),(-0.34859435747030887-0.11076193419041791j)
36,(-0.9329734086513247+0j),(0.21670580021557118-0.055883316237599456j)
37,(-0.9951036008603649+0j),(0.532746605738875-0.057135611512614815j)
38,(-0.9980241871105446+0j),(0.29817368730111127-0.337707215842193j)
39,(-0.9863760598114949+0j),(-0.26950320291127033+0.02478252982783856j)
40,(-0.6061419906113665+0j),(0.0384719376937816-0.0733880470127899j)
41,(-0.928152061021404+0j),(0.3081813209790355+0.052810825439500886j)
42,(-0.8945146477065358+0j),(-0.3662598953620315-0.018767463888418327j)
43,(-0.5923131067581683+0j),(-0.010705737759916956+0.24172626962487578j)
44,(-0.9598987392801033+0j),(0.4618108325487149-0.05897528224680057j)
45,(-0.9985986713412749+0j),(0.13432760683837558+0.23907635924119935j)
46,(-0.9829708959743435+0j),(-0.37921667558686406-0.3850928869905693j)
47,(-0.877245154219236+0j),(0.3388409018241545-0.4630710412378341j)
48,(0.027183566842420293+0j),(0.09973519485839744-0.2986932309541067j)
49,(-0.993148241082522+0j),(-0.10662790679906575-0.0024625711477676004j)
50,(-0.9820077517206967+0j),(-0.3582247105742159-0.13469774689983727j)
51,(-0.5631027518780808+0j),(-0.32896370102172323-0.08005978522034393j)
52,(-0.9003973496572457+0j),(-0.3216131043942827+0.5997449674469342j)
53,(-0.4857089570417743+0j),(-0.12777960659530152+0.15474007607880846j)
54,(-0.8870694212342164+0j),(0.32429259605737415-0.13117984634644123j)
55,(-0.2290001228477893+0j),(0.14171955446858975-0.6070817377441354j)
56,(-0.8110315559528063+0j),(0.45731351827623207-0.04022932641412144j)
57,(-0.7311086559903006+0j),(0.040546060280252635+0.6303647263615113j)
58,(0.742913934137734+0j),(-0.12041270913314261+0.1802324108399046j)
59,(0.8127892514808481+0j),(0.4724656705968744-0.2154061291174647j)
60,(0.9727240554479841+0j),(-0.0877412529108842+0.5137304653958991j)
61,(0.9157880520181801+0j),(0.5011639100365002+0.3057634544283857j)
62,(0.9167023902585388+0j),(-0.2788273190254874-0.1206325623054765j)
63,(0.8129934981515905+0j),(-0.2280035792854581-0.14120242959875162j)
64,(0.8974759456098154+0j),(-0.608579063579334+0.11759782774716843j)
65,(0.9417589772196463+0j),(-0.005073681348743031+0.451250982649503j)
66,(0.984553558313393+0j),(0.36183621529547344+0.058003140236885214j)
67,(0.9391618597922857+0j),(0.11049188037119778+0.2035056266962425j)
68,(0.8057669174949095+0j),(0.6792103928591262+0.14488198376649908j)
69,(0.7434248759526781+0j),(-0.13847578968016835+0.2170549530882515j)
70,(0.938836159328028+0j),(-0.2814449969611479+0.10042174986194247j)
71,(0.9657146673149516+0j),(-0.17511592253076858-0.13104912773913266j)
72,(0.0023623867053274425+0j),(0.09302237545830021+0.28463163002389336j)
73,(0.8348390797134921+0j),(-0.16822800837890384+0.2580231279298747j)
74,(0.9137310888225195+0j),(0.4933171718821391+0.29614261112978457j)
75,(0.6713426026019179+0j),(-0.15950931419321907+0.15576501504272405j)
76,(0.9394166622618227+0j),(0.017887995721604377-0.2163700292937553j)
77,(0.8953709438987861+0j),(0.35121439240966834-0.4272626293384125j)
78,(0.9426416274299318+0j),(-0.25778258249651115+0.027427673558312812j)
79,(0.8576850012201284+0j),(-0.16457241203114426-0.3848399605556154j)
80,(0.9106381360112534+0j),(0.16826838992690807+0.02785456624922657j)
81,(0.7399133309624464+0j),(0.026188355126144952+0.3123330663716287j)
82,(0.529533108234357+0j),(0.16398766997439568-0.05216205532281323j)
83,(0.7684689661845274+0j),(0.26176061783611926-0.008700213558984662j)
84,(0.7135126271236893+0j),(0.392193460032723-0.454646165186807j)
85,(-0.8955866386720882+0j),(0.25279484733624263+0.16119187824929848j)
