,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
13,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
14,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
15,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
16,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
17,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
18,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
19,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
20,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
21,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
22,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
23,(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j)
24,(0.09984429361448373-0.059544406426198265j),(0.09999999999999984-0.060000000000000095j),(0.10040327043200026-0.05786427388560479j),(0.09563529292077178-0.057046436106980146j),(0.09940798135461278-0.059386819193940045j),(0.09985445198134542-0.06270104618595806j),(0.09834662708417632-0.059391556087495224j),(0.0964183390617718-0.06200668324498338j),(0.0987536822028447-0.05922481723610025j),(0.09801793919871668-0.05674018228469777j),(0.10322182287805995-0.059983655237473676j),(0.09864229116520026-0.06055861247517305j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.09999999999999984-0.060000000000000095j),(0.0999957478818598-0.06108876259196254j)
