,ampiltude,real_c_0,img_c_0
148,-0.9969386656783328,0.0,0.0
149,-0.9974723094922594,0.0,0.0
150,-0.9974938818677063,0.0,0.0
151,-0.997083879348116,0.0,0.0
152,-0.9974616927847961,0.0,0.0
153,-0.9967139579335944,0.0,0.0
154,-0.9968124506750177,0.0,0.0
155,-0.9971881164949201,0.0,0.0
156,-0.9965898586133762,0.0,0.0
157,-0.9964827998021603,0.0,0.0
158,-0.9972696833576092,0.0,0.0
159,-0.9972468063089597,0.0,0.0
160,-0.9972468063089597,0.0,0.0
161,-0.9969154038983015,0.0,0.0
162,-0.9966770584973133,0.0,0.0
163,-0.9970629843138886,0.0,0.0
164,-0.9967953911145611,0.0,0.0
165,-0.9968795787735765,0.0,0.0
166,-0.9975133068463494,0.0,0.0
167,-0.9966745562188922,0.0,0.0
168,-0.9968923888542316,0.0,0.0
169,-0.9973136585334903,0.0,0.0
170,-0.997359884012031,0.0,0.0
171,-0.9974691530930717,0.0,0.0
172,-0.9981092287276104,0.0,0.0
173,-0.9969617013944925,0.0,0.0
174,-0.9970968732130373,0.0,0.0
175,-0.9967877795256558,0.0,0.0
176,-0.9967877795256558,0.0,0.0
177,-0.997133541329483,0.0,0.0
178,-0.9970230722893689,0.0,0.0
179,-0.9971822908014327,0.0,0.0
180,-0.9970625883540809,0.0,0.0
181,-0.9967712471755219,0.0,0.0
182,-0.9971408654407523,0.0,0.0
183,-0.9968882423625786,0.0,0.0
184,-0.9971777015337072,0.0,0.0
185,-0.9972733731450937,0.0,0.0
186,-0.9971492917526326,0.0,0.0
187,-0.9967926433804504,0.0,0.0
188,-0.9971897273550657,0.0,0.0
189,-0.9973263110938021,0.0,0.0
190,-0.9962831175911774,0.0,0.0
191,-0.9969891892385168,0.0,0.0
192,-0.9977203632068319,0.0,0.0
193,-0.9970925876530237,0.0,0.0
194,-0.9970925876530237,0.0,0.0
195,-0.9971518253953159,0.0,0.0
196,-0.9970059805140683,0.0,0.0
197,-0.9970059805140683,0.0,0.0
198,-0.9975213414538925,0.0,0.0
199,-0.9974188465776063,0.0,0.0
200,-0.9970337395446031,0.0,0.0
201,-0.9969625243112887,0.0,0.0
202,-0.9968996807719993,0.0,0.0
203,-0.9972053412817533,0.0,0.0
204,-0.9972909679077229,0.0,0.0
205,-0.9962528262097436,0.0,0.0
206,-0.9974218224186856,0.0,0.0
207,-0.9969025415777297,0.0,0.0
208,-0.9973517853746379,0.0,0.0
209,-0.9968728118668385,0.0,0.0
210,-0.9971762075385915,0.0,0.0
211,-0.997175639524314,0.0,0.0
212,-0.9969479350891578,0.0,0.0
213,-0.9972678753853857,0.0,0.0
214,-0.9964940407772017,0.0,0.0
215,-0.996940858191193,0.0,0.0
216,-0.9970765242180825,0.0,0.0
217,-0.9966765968132111,0.0,0.0
218,-0.9971676836345094,0.0,0.0
219,-0.9971123187702833,0.0,0.0
220,-0.9972347248536249,0.0,0.0
221,-0.9970501418962443,0.0,0.0
222,-0.9970597815820036,0.0,0.0
223,-0.9967093425122697,0.0,0.0
224,-0.9969904816546673,0.0,0.0
225,-0.9970403727271059,0.0,0.0
226,-0.9965009673662558,0.0,0.0
227,-0.9974681320129284,0.0,0.0
228,-0.9975470865926883,0.0,0.0
229,-0.9972164411005299,0.0,0.0
230,-0.9971690365920775,0.0,0.0
231,-0.996608037660416,0.0,0.0
232,-0.996608037660416,0.0,0.0
233,-0.9965556615950126,0.0,0.0
234,-0.99727598236291,0.0,0.0
235,-0.9974229024228984,0.0,0.0
236,-0.9975060499798541,0.0,0.0
237,-0.9970191216721614,0.0,0.0
238,-0.9967067104651426,0.0,0.0
239,-0.9969159245451024,0.0,0.0
240,-0.9970186985139,0.0,0.0
241,-0.9970282285258799,0.0,0.0
242,-0.9975015483283743,0.0,0.0
243,-0.9973579962925115,0.0,0.0
244,-0.9974182275183647,0.0,0.0
245,-0.9965555831869152,0.0,0.0
246,-0.9976555517242336,0.0,0.0
247,-0.9965954819901647,0.0,0.0
248,-0.9969112596730233,0.0,0.0
249,-0.9975781725407197,0.0,0.0
250,-0.9965577263067952,0.0,0.0
251,-0.9971551937738784,0.0,0.0
252,-0.9973269918336521,0.0,0.0
253,-0.9971077164483437,0.0,0.0
254,-0.9962186037598192,0.0,0.0
255,-0.99722369608576,0.0,0.0
256,-0.996815301156769,0.0,0.0
257,-0.9967428701810022,0.0,0.0
258,-0.9967428701810022,0.0,0.0
259,-0.997299579891305,0.0,0.0
260,-0.9970437466177718,0.0,0.0
261,-0.9971651303534932,0.0,0.0
262,-0.9973184715720607,0.0,0.0
263,-0.9969800673799593,0.0,0.0
264,-0.9967101743117419,0.0,0.0
265,-0.9971231832445786,0.0,0.0
266,-0.9968630277047892,0.0,0.0
267,-0.9970526509856356,0.0,0.0
268,-0.9969876371599058,0.0,0.0
269,-0.9972090993774745,0.0,0.0
270,-0.997281575843584,0.0,0.0
271,-0.9958006444705694,0.0,0.0
272,-0.996772402775253,0.0,0.0
273,-0.9972629445631209,0.0,0.0
274,-0.9965639937503131,0.0,0.0
275,-0.9976088837196232,0.0,0.0
276,-0.9970847610637529,0.0,0.0
277,-0.9964233903193522,0.0,0.0
278,-0.9966756407203754,0.0,0.0
279,-0.9967614156620027,0.0,0.0
280,-0.9966315931143704,0.0,0.0
281,-0.996906352596203,0.0,0.0
282,-0.9969908369114298,0.0,0.0
283,-0.9969908369114298,0.0,0.0
284,-0.9972178306330208,0.0,0.0
285,-0.9975586654927872,0.0,0.0
286,-0.9971269712855148,0.0,0.0
287,-0.9966110032562813,0.0,0.0
288,-0.9969942189548865,0.0,0.0
289,-0.9976346034193694,0.0,0.0
290,-0.9971786699529517,0.0,0.0
291,-0.996672315124063,0.0,0.0
292,-0.9967049734833455,0.0,0.0
293,-0.9970685217081254,0.0,0.0
294,-0.9967436266166676,0.0,0.0
295,-0.9976322104567811,0.0,0.0
296,-0.9965193852636565,0.0,0.0
297,-0.997216221430989,0.0,0.0
298,-0.9963021607247944,0.0,0.0
299,-0.9975865989473424,0.0,0.0
300,-0.9972280849043812,0.0,0.0
301,-0.9972417620673262,0.0,0.0
302,-0.9969170053158606,0.0,0.0
303,-0.9966799764410508,0.0,0.0
304,-0.9968920905033147,0.0,0.0
305,-0.997184512018578,0.0,0.0
306,-0.9972553337619147,0.0,0.0
307,-0.9967125964884466,0.0,0.0
308,-0.996818578869131,0.0,0.0
309,-0.9970312726751888,0.0,0.0
310,-0.9970312726751888,0.0,0.0
311,-0.9972981771237347,0.0,0.0
312,-0.9964391020132767,0.0,0.0
313,-0.996825294055909,0.0,0.0
314,-0.9968250537206915,0.0,0.0
315,-0.9973758070712101,0.0,0.0
316,-0.9971105226609858,0.0,0.0
317,-0.9967756968985022,0.0,0.0
