,abs_amplitude,amplitude_squared,abs_c_0
1236,1.5600636903008787e-06,2.433798717795196e-12,0.0
1237,6.25376410174237e-07,3.9109565440241545e-13,0.0
1238,3.3695034361638825e-06,1.1353553406320212e-11,0.0
1239,2.409067054287242e-06,5.803604072052209e-12,0.0
1240,4.627736225713743e-06,2.1415942574783282e-11,0.0
1241,5.045993780316644e-06,2.546205323099426e-11,0.0
1242,4.29753184669956e-06,1.846877997339693e-11,0.0
1243,5.911836958553359e-06,3.4949816224517436e-11,0.0
1244,8.1290050873159e-06,6.608072370960779e-11,0.0
1245,2.5489415828975014e-06,6.49710319302402e-12,0.0
1246,3.0704827390441023e-06,9.427864250767772e-12,0.0
1247,4.59902061499808e-06,2.115099061717732e-11,0.0
1248,4.488535560926248e-06,2.014695148169951e-11,0.0
1249,1.5510533758147286e-06,2.4057665746262656e-12,0.0
1250,2.446328475197877e-07,5.984523008563969e-14,0.0
1251,6.356670103847453e-07,4.0407254809147993e-13,0.0
1252,1.3748102796418736e-06,1.890103305008967e-12,0.0
1253,4.21816113782814e-06,1.7792883384683592e-11,0.0
1254,6.237885321504149e-06,3.891121328423693e-11,0.0
1255,9.23788620554501e-07,8.533854154659878e-13,0.0
1256,9.23788620554501e-07,8.533854154659878e-13,0.0
1257,1.3009170151816667e-06,1.6923850803891766e-12,0.0
1258,5.973559816167248e-06,3.568341687732809e-11,0.0
1259,2.323314120955026e-06,5.397788504629026e-12,0.0
1260,9.81952555734375e-08,9.64230821713271e-15,0.0
1261,4.73529182073461e-06,2.24229886275161e-11,0.0
1262,1.351250431499361e-06,1.8258777286272094e-12,0.0
1263,5.935544480604149e-06,3.5230688281230384e-11,0.0
1264,2.592860029694089e-06,6.722923133585231e-12,0.0
1265,3.618175294543832e-08,1.3091192462047348e-15,0.0
1266,7.279025883906383e-06,5.2984217818579096e-11,0.0
1267,1.4695908321000309e-06,2.159697213792461e-12,0.0
1268,3.6091225773782527e-06,1.3025765778541441e-11,0.0
1269,1.3556028637699429e-06,1.8376591242612703e-12,0.0
1270,8.443735247592551e-06,7.129666493143684e-11,0.0
1271,2.1957410980015854e-07,4.821278969453208e-14,0.0
1272,9.508833378200973e-06,9.041791221438894e-11,0.0
1273,3.8112982369560107e-06,1.4525994251023996e-11,0.0
1274,4.7182418472679824e-07,2.2261806129310782e-13,0.0
1275,6.249646224403253e-06,3.9058077930197835e-11,0.0
1276,3.937451592580288e-06,1.5503525043913042e-11,0.0
1277,4.47322232847226e-06,2.0009717999942788e-11,0.0
1278,5.6761826775332976e-06,3.2219049788729076e-11,0.0
