,amplitude,c_-1,c_0,c_1
41,(0.17365068474979997+0j),(-0.22679198276890528+0.03879259656631953j),(0.6325832743531943-0.47942034204520056j),(0.2202413790886153-0.4956888193708813j)
42,(-0.08065474534568519+0j),(0.06274344193401749-0.24120932174266083j),(0.9306578324971367-0.50555658973388j),(-0.0027614694213745627+0.08299283778674499j)
43,(0.031239062433530862+0j),(-0.1338109920158589-0.04980384682692281j),(-1.0007723798643051+0.8140249319916104j),(-0.059618351832100396-0.09570028658843771j)
44,(-0.2686048270757327+0j),(0.019884826355578367-0.047486575287991314j),(-0.9559175247477384-0.20346089244652021j),(-0.34028113879033983+0.03218808417533403j)
45,(0.11420817933864547+0j),(0.337508014638225-0.05113966470989897j),(-0.5884195603820874-0.6006241216297344j),(-0.015964587008858-0.2719086343138084j)
46,(0.09498686353279268+0j),(0.030515911228682937+0.42941939141435315j),(0.12892414385860557+0.2746110723713335j),(0.15643945609255264-0.17795026835501482j)
47,(0.12981968434341856+0j),(-0.2758514346733908-0.5257465026248263j),(0.19273330652864762-0.6855387363427503j),(-0.31171386499660103+0.15851501896356474j)
48,(0.26201559274242403+0j),(-0.19155514088746786-0.2430098048332158j),(0.47095486235603295-0.0225047630931825j),(0.32532192939157345-0.27664901178621704j)
49,(0.4632401416248349+0j),(0.09339544094441707+0.11267816982221213j),(-0.7036884619519135+0.22686055962006074j),(-0.3363169726001365+0.0027428486496695534j)
50,(-0.3535161530218991+0j),(0.21897462320022093-0.07374766320641678j),(-0.9666974763672344-0.09318912569756703j),(-0.07134100033341216+0.007933322234616763j)
51,(-0.22201744040498145+0j),(-0.16704895094783195+0.18687184061288697j),(0.026085297392483386-1.0098808322397104j),(-0.09731670680492333+0.21968524699256675j)
52,(-0.09905200765140453+0j),(-0.09623619915305326-0.05469734805916315j),(0.6325136206179424+0.6334516153573965j),(-0.1834170078856932+0.25312926258315327j)
53,(0.29828982837943036+0j),(0.3546075548447447-0.1739357889852456j),(0.9738235824999055-0.16647218809610487j),(-0.002451492990241874-0.27527802257297757j)
54,(0.053374174297816074+0j),(0.2839587083622465+0.09768583403624559j),(0.4164418751607707-0.09010498558450064j),(-0.2719331789982635-0.2813786701309856j)
55,(0.20087016207046787+0j),(0.1209197281577625+0.06564123338774436j),(0.6141736224218747+0.7009579708105633j),(-0.21154089808742566-0.6180343534930641j)
56,(0.4065138660909312+0j),(-0.1817923969702661-0.18129516342253832j),(0.8506209715369164+0.46013844602191895j),(0.008539833817965914+0.21464291432831986j)
57,(0.47304512858944614+0j),(-0.030603777997494475+0.039610736570134475j),(0.6545452648510834-0.4396172510812963j),(0.0001923606961988962+0.080394735693893j)
58,(0.240346370514173+0j),(0.7178027207012958-0.07665750250631488j),(0.3405686641403628+0.1374676418153073j),(-0.639648201007472+0.3046517634671966j)
59,(-0.23940559856070914+0j),(-0.03709876505719953-0.2420564551806555j),(-0.27873502846150144+0.5372295543419698j),(0.29689799871569755-0.1731718176274688j)
60,(-0.041754003904402204+0j),(0.4673213784489058-0.3515974100114535j),(0.5962718424985408-0.21430944151469933j),(-0.15005252501583652-0.2454698927330624j)
61,(-0.12391855285960696+0j),(-0.041233630489593685-0.23401876081696354j),(0.7447219550865686-0.3055412384198354j),(-0.025040290090878187+0.21001413942456948j)
62,(-0.15529807045635957+0j),(-0.4126779912922319-0.10573774854562065j),(0.22195861299282563+0.28444938127478187j),(-0.19342246592996792-0.2704700989741052j)
63,(-0.16106586402854822+0j),(-0.08337094571218516+0.3941432013647811j),(0.17771094228190115-0.5744870802943047j),(0.5131248034425313-0.10064079877577385j)
64,(0.3267081540242576+0j),(0.32995620531547065-0.20616512312657195j),(0.8863015412114331-0.2115615286401611j),(-0.541327859554164-0.267635131359597j)
65,(-0.15352916684047851+0j),(0.3004545074144913-0.14563124194451943j),(0.3606745969221721+0.5427322108505795j),(0.34991496514622766+0.3004218493677736j)
66,(-0.10012456023723593+0j),(0.040187991080126884-0.4063411057090354j),(0.39933441256368046+0.7326752178783393j),(0.016821128167703814+0.06570293760027163j)
67,(0.26037175792681766+0j),(-0.42420388879613624+0.47926606069903477j),(0.17017790771429955+0.08016924057508687j),(0.02498594216029501-0.45272208272154174j)
68,(0.03043671219272176+0j),(-0.01320787698647617+0.018976071632529776j),(-0.4310076228213002+0.9258804904894841j),(-0.16622958407882563+0.13122284838211107j)
69,(-0.4674981607437217+0j),(-0.07758038220384447-0.47408762323758113j),(-0.07848737482980231+0.06265168430693119j),(0.1769645466298899-0.21080326741328131j)
70,(-0.004805858534613516+0j),(0.14457998042110884+0.191398101371877j),(0.6710894473130049-0.3273757185926625j),(0.035801078629269824+0.4739737696227422j)
71,(-0.2402650125230823+0j),(-0.058208811183256604+0.05885713975329658j),(0.637319117370833-0.8775441918926364j),(0.1922482123354196+0.15514236550786625j)
72,(-0.3519963919380884+0j),(-0.1627151466449807+0.14738850393505715j),(0.9478209417605132-0.2769392144948011j),(-0.19922033695523367+0.0015969536226426578j)
73,(0.3108867035338795+0j),(0.6095332393722317-0.5617659294837173j),(-0.10564598010503107+0.2656647266189161j),(-0.03357504899697947+0.12493397940937864j)
74,(0.41954569346767234+0j),(0.0665948469468601+0.10275786315590041j),(0.391693231721614+0.6255546033612076j),(-0.22983966758421254-0.3613912384958077j)
75,(0.43917021860770733+0j),(0.021354624280069+0.4099947098804529j),(0.3654608052988335-0.6911204397066365j),(0.2964285608462376+0.08103936135135328j)
76,(0.39621002358930657+0j),(-0.03690338198069553-0.09179875799651667j),(0.7534897945579092-0.4137238209553784j),(0.06325953524989474+0.38922326489709314j)
77,(-0.05027329400296837+0j),(0.2086025076836072+0.012577120596976521j),(0.3297188356195906-0.5792598778880704j),(-0.13623205543221992+0.09244057795645791j)
78,(0.23142858176772857+0j),(-0.045313204868247164+0.17767128287355508j),(0.055063217346613395-0.5356672653479059j),(-0.5138802513525589-0.11969212285967601j)
79,(-0.6726286311867774+0j),(0.374635654798551+0.0911918215867531j),(-0.3911708010241628-0.8926152849672064j),(-0.10138221658970802+0.18690239721884067j)
80,(0.018642424432656124+0j),(0.1634459940570755+0.3991325630270215j),(-0.14031652364048494-0.4498271688441503j),(-0.07689246809474884-0.16927855608375653j)
81,(0.17880319536090372+0j),(-0.17935833249536431+0.10779364122540627j),(0.14820046830655959+0.02618458022511516j),(-0.08234499322656152-0.14247785726318435j)
82,(-0.0285504807633801+0j),(-0.10857306788773576-0.07833163275093533j),(-0.7841687177678924+0.5914724920966743j),(-0.08080896737604637-0.20085706485935184j)
83,(-0.2882195739931979+0j),(0.21382113679032458+0.2512237295314348j),(-0.23109985697737684-0.5789309361542045j),(-0.10053992224532096-0.1806718728314201j)
84,(0.44039151999521703+0j),(-0.09931959460146728-0.30406318052049064j),(-0.34425798056614976+0.6493749281220157j),(0.29332825311597055-0.21746328659107428j)
85,(-0.39287002604125054+0j),(-0.3189328540841849-0.3574392958131487j),(-0.6453855318928576-0.1238173026329917j),(0.08373885174366302+0.31378963758490797j)
86,(0.18469902716225295+0j),(0.0702169949081668+0.1533983778447191j),(0.6479792002390923-0.06803508611490372j),(-0.20152105717384666-0.34660442248208856j)
87,(-0.08037183740409853+0j),(-0.04994107070072873-0.24084018783654465j),(-0.6757009443147652-0.4870275428179197j),(0.36201400836443015+0.13705322074004184j)
88,(0.14161520502580702+0j),(-0.0564387300321884+0.15301435458913915j),(0.5723687984748684+0.18306022208691172j),(0.019682846786486546-0.14342751916184454j)
89,(-0.10653389251039083+0j),(-0.21835788441542925-0.02886156238263992j),(-0.7605465168845359+0.8184788630603059j),(0.19314332922875316-0.1484915914088691j)
90,(-0.1802137350634043+0j),(-0.005527317235820853+0.1939347709218771j),(0.6420389719237807+0.6573055987271524j),(0.08578953527054295-0.0030726267672924537j)
91,(-0.0735067813132223+0j),(-0.15203747583249622+0.0877084229523285j),(-0.08816725067714354+0.4337057478492701j),(0.23428422344242683-0.22305533807678318j)
92,(-0.2608452403288188+0j),(-0.06311859614280566-0.20344661864385408j),(-0.5662933731593484+0.2396365902006931j),(0.057487802619441294-0.03997009228271165j)
93,(-0.2266518068210473+0j),(-0.04491191924997412+0.1397517194219714j),(0.7046922304994957+0.025933014586514758j),(0.14755538536782953+0.023125993664287164j)
94,(-0.13351094252623735+0j),(-0.13970883546104715+0.13242224845017309j),(-0.26039054088558217+0.9017429197818233j),(-0.0007638570187455118+0.2894836788020975j)
95,(-0.10426058748553971+0j),(-0.06438866714129826+0.1295372042536125j),(-0.6946148609012089+0.7377197604387191j),(0.05118711876800275+0.059471169433135435j)
96,(0.25682792208684835+0j),(0.18050638370938216+0.2680348716623401j),(0.7216955306437536-0.4125077383405043j),(-0.0412803651589414+0.15915305853559017j)
97,(-0.2753330210649759+0j),(-0.24196885054712736+0.003785535847967484j),(0.8413495920631896-0.22829856593830206j),(0.011582548746532667+0.00026393111190484153j)
98,(-0.13117182967270186+0j),(0.17515561093812385+0.2695288335206926j),(0.0791688599847313-0.5821257175065389j),(-0.3626194816914723-0.24413883778001716j)
99,(-0.4800692988075973+0j),(0.06653397413188558-0.07815117534718313j),(0.7626544224816734+0.2677517514206734j),(-0.04368070758017682-0.1401964763590109j)
100,(0.015355535555577338+0j),(-0.11403252454144645-0.3544329923032106j),(0.6921563502220573-0.937647486562186j),(-0.08802110650413134+0.267383174732838j)
101,(0.1891405113727197+0j),(-0.33476586801104646+0.12739597563939906j),(-0.8305711331643469-0.08880419284790077j),(0.09025705837146296+0.17790856034869423j)
102,(0.142675590807529+0j),(0.12275768346774601-0.2587691868280451j),(0.08948129237883373+0.46552498414863175j),(-0.02745325245783975+0.16321090783404169j)
103,(0.01641519508209799+0j),(-0.11622950488542745-0.03706172639745697j),(0.9839267766482713-0.4025801594616136j),(-0.1299138632725734-0.1647078535716092j)
104,(0.23384826001186393+0j),(0.0649238488678599-0.06033575367215363j),(-0.1908748259611575-0.31464475080327925j),(0.4727404291363219+0.043571717246758j)
105,(0.1115498757427571+0j),(0.10211203962403997-0.04711588201621128j),(0.07214834628012212-0.9772657625970516j),(0.25929904839157364-0.16646925339022736j)
106,(-0.14984812697580885+0j),(-0.2709061706771355-0.27086731582544854j),(0.8844862590402939+0.3961404557654097j),(0.04092491458630598-0.09128672362374379j)
107,(0.003631389181578411+0j),(0.26512644538691416+0.28445109210515923j),(0.9360271434008465-0.16446817416324808j),(0.021653448571792078+0.10066674775226397j)
108,(-0.2584548889436266+0j),(-0.6314192738715243-0.28693201510503635j),(0.08522440313458676+0.3108806024465376j),(0.2990668995753535-0.22392634852601284j)
109,(-0.06525064450115063+0j),(0.43932045879566506+0.41970247762442703j),(0.39727883066795633-0.6867237512957665j),(0.07868387965074408-0.3227384912749567j)
110,(0.08882962320511129+0j),(0.14217610772353778+0.4177055867130041j),(-0.7683435239352161+0.29902264440289783j),(0.21649404733893413-0.04280051769292792j)
111,(0.04217232782538541+0j),(0.3498942232450618+0.20842450068872603j),(-0.5085196592608279-0.5369758556805369j),(-0.11105922698468157+0.02976629888151275j)
112,(0.1930583650199724+0j),(-0.8072336720542062-0.21607443331102635j),(0.0397804740010505-0.1040290199874423j),(-0.25657068080638873-0.005510571736400242j)
113,(-0.039108243635589846+0j),(-0.21226225976275645-0.37147795952594403j),(0.10557337182404522+0.19750130033171695j),(0.2804164796691126+0.29003142797967923j)
114,(-0.2629374611895914+0j),(0.2081024546644152-0.12800933349479482j),(0.13778669666760845-0.8598483939749081j),(-0.22002656923472844-0.2534352688096764j)
115,(-0.19591098792443273+0j),(0.1891692091150012+0.4298761009900035j),(0.04614087418191699-0.2632449197883796j),(-0.5062222821826392-0.15278719605824398j)
116,(0.044577469620582455+0j),(0.13582964504349082-0.03735333233557491j),(0.0635681677510606+0.5473318739667367j),(0.05407629334885629+0.22440617966282933j)
117,(-0.16838812613380644+0j),(0.07916443523395411-0.05146138933341808j),(0.46492344296140126-0.9723812537229998j),(0.028243295047921113-0.10267848918400041j)
118,(-0.18241718973350454+0j),(-0.058653979137454126-0.5585563795586539j),(0.8130138932616443-0.10112412906592344j),(-0.4437524329648567+0.06215185394878244j)
119,(0.5102784772015425+0j),(0.22805853359264927-0.0595943307054264j),(0.34225224581360614-0.7587119705943907j),(-0.03438449485343197+0.14932824497057295j)
120,(-0.46559443625422103+0j),(-0.08098527914949118-0.052019451294193504j),(0.8452508472758038-0.35479775109597705j),(-0.27560310360184564+0.07857669696921386j)
121,(-0.40092526217092955+0j),(0.2601323683597737-0.09731549671321536j),(0.5802688032230158+0.25267156547811576j),(0.38792315001781724-0.05604449428697733j)
122,(0.28000043251091594+0j),(0.01741560002099693-0.3939396353203988j),(0.3115625350398948+0.8144870186999434j),(0.0026903699262715193-0.19141554745008596j)
123,(0.09639491042267437+0j),(-0.41517248563925874-0.444140374873594j),(0.6286391264636428+0.16351329430114106j),(0.3008064433738821+0.24749913868366732j)
124,(0.3816307249167711+0j),(0.2656087270575929+0.3828783670103951j),(-0.8506959634112341-0.19695041429805643j),(0.31686930179539524+0.3462790658923559j)
125,(0.1877155685018655+0j),(0.05569180512259678-0.07544031771726818j),(0.9069827864433992+0.6160712540543728j),(-0.20017415093518937-0.3978969646861611j)
126,(0.4238665818271739+0j),(-0.13318811219123025-0.11106586481072046j),(0.6523466819120164-0.11219259007429316j),(0.44439484444365485-0.05256314658452658j)
127,(-0.19243451615248713+0j),(0.36103601894608006+0.06812455073499074j),(0.2655206810421502-1.0205674665747606j),(-0.24571655158535252-0.4622686157492483j)
128,(0.38357237713672043+0j),(0.009065587815099127+0.1740450585118437j),(-0.3792275109999726+0.610296324250489j),(0.39082981402081385-0.07296858227949808j)
129,(0.4045737735940561+0j),(-0.07277599663291963-0.17210140442943286j),(-0.8846079945451852+0.2850600109755219j),(-0.14120329095674744-0.10179438746026093j)
130,(-0.06600382928430962+0j),(-0.310127643672338+0.11550791429680474j),(0.2489801261841559-0.884578958581573j),(-0.05733723133445931-0.4467624752861795j)
131,(-0.02848565194735741+0j),(0.17354198465608942+0.13103568739458105j),(-0.054950702169484944-0.35262360423721095j),(0.3796575931354868+0.003209125871590973j)
132,(-0.10513803296353644+0j),(0.03909998962164491-0.022360027096102464j),(0.9611488039135225+0.41581195040971525j),(0.014455118852025092+0.036008505812733516j)
133,(-0.18091787659015396+0j),(-0.13522045269349983-0.272616112846908j),(0.6850892781239148-0.654859181131777j),(-0.142953475361028+0.14932545120470467j)
134,(-0.009110405117792448+0j),(-0.3124415925743434-0.14624024733662966j),(-0.4739636863432324+0.20522648293223286j),(0.5372465945169305+0.17017806530270013j)
135,(-0.13374536619953742+0j),(0.39390816370443643-0.37858105770750683j),(0.15374784813675565+0.13600268993893772j),(0.011961088646825588+0.3350888371147223j)
136,(0.11200824744725169+0j),(0.13165480119409168-0.005902744596789251j),(-0.5505227326035333-1.119286358687254j),(-0.1862273546570239-0.05287185139948451j)
137,(0.5538995110122116+0j),(0.21641941450174998+0.26799642419304426j),(0.09854091072461645+0.8390886569699164j),(0.1262966078998339-0.2804896672025409j)
138,(-0.07278528359516662+0j),(-0.09986834789076815+0.5672185762004734j),(0.011013210088133519-0.5967773359396824j),(0.19490881049499986-0.26460056026034445j)
139,(0.38991210902456336+0j),(-0.27942483595542167-0.16798749200910149j),(0.9759724963266517-0.5689521106223417j),(0.11575541906459315-0.035119541034442314j)
140,(-0.09710704871688895+0j),(-0.37310418552107877+0.02784134933885893j),(0.6462105561563009+0.511222201264907j),(0.15845606273071358+0.11368495928408191j)
141,(-0.5745106590522521+0j),(-0.025204033451822306+0.15575257196791806j),(-1.04497905860638+0.004194954931740852j),(-0.07738898026505524-0.2624526331817724j)
142,(-0.11426108590842421+0j),(-0.5313900555657978-0.10426738372102995j),(0.11380833009563868-0.7597264247928869j),(-0.06178557350423143+0.06627527925608594j)
143,(0.1997742522421347+0j),(0.06927749810562658+0.20297678651834458j),(-0.28333124782256247-0.0228078087431013j),(0.35915363057780186-0.16785133552477213j)
144,(-0.1176860951287668+0j),(0.4926422648852395+0.10608418692021626j),(0.28290475733941206+0.6601812209946656j),(-0.1807094014623949-0.3194868419977219j)
145,(-0.2637711845718944+0j),(-0.24622062763625518+0.08067787429521928j),(0.37203558604997256-0.5789661449409522j),(-0.3111278860797971-0.3373907803376454j)
146,(-0.15616717334048297+0j),(0.03333623989128836-0.5659105175297116j),(0.22967903827830527-0.12537586875489004j),(-0.23502387276285416-0.006609653509390717j)
147,(-0.22900256941778474+0j),(0.4709584228232784-0.15082185014896857j),(-0.38117725734839625+0.9553106448448465j),(0.1850503564780282+0.1306791140466877j)
148,(0.4407497750337712+0j),(0.07929045017170422+0.1386081044939042j),(-0.6389770258494338+0.5162522527006091j),(-0.3021628463428023+0.21269208178262866j)
149,(0.10457068581610113+0j),(-0.007251364513041467-0.3984905704114261j),(0.20339664136925167+0.3290479959344975j),(0.4801159664561175+0.5799031915751831j)
150,(-0.6408065817186483+0j),(-0.046147124826654506+0.050234990635971866j),(0.5107062107330451+0.7948854155366598j),(-0.19742501194745815+0.09434261229524869j)
151,(-0.3089910448504381+0j),(-0.36653826169718456-0.21322335413141386j),(0.7576226302188238+0.19345420356535703j),(-0.11665556069152765+0.05838868122807865j)
152,(0.13270701895578693+0j),(0.03150646818313398-0.20871118903704416j),(0.04521307923418073-0.43795921003387195j),(0.23889593511785676+0.14539551404128243j)
153,(0.04985852626189226+0j),(-0.07531332800401608+0.5677033202541668j),(0.1613033983624396-0.168172000871297j),(-0.2954532927821946-0.0799939515476198j)
154,(0.20379851919297798+0j),(0.013711831564836935+0.18137631311929092j),(0.14006252216537093-0.36223163741215336j),(-0.0011331152779704423-0.012364621133377662j)
155,(0.14617089554753304+0j),(0.19039460929588112-0.34198989298881405j),(-0.6327114376360712-0.05059495902627496j),(-0.077328694979521+0.1890018052516075j)
156,(-0.08257464193366297+0j),(0.2330493179325454+0.4220481734464108j),(-0.10643693546143526+0.29897912321872727j),(0.03655906220308137-0.30537448280546026j)
157,(-0.14107096370551636+0j),(0.05700378973881278-0.34472278726911276j),(0.35444842527978404+1.0150741888947918j),(-0.43414344358699497+0.07449858000691648j)
158,(-0.30886084250659307+0j),(-0.1113484683810774+0.37836633069187686j),(0.22050128076663994+0.863771202352623j),(-0.3245298178712447-0.05616239484155294j)
159,(-0.041651722677992414+0j),(0.22222268102965456+0.46268396294565023j),(-0.5332950938695091+0.5587455074515107j),(-0.10705784953958536+0.08556292005840652j)
160,(0.16819894457555146+0j),(-0.007532801065796664+0.14951366294173238j),(0.4402620603888957+0.7810300406330604j),(-0.09828926296041368+0.16347711597740525j)
161,(-0.0808424108994916+0j),(-0.019531885268520774-0.09541933435282511j),(0.36900292269227186-0.7979889117701551j),(-0.30955651118391064-0.008193014876955215j)
162,(0.1697692178364483+0j),(-0.11122488170376894-0.41099401833931926j),(-0.20784735142174982-0.394446281602202j),(-0.02168257910734691-0.2369026696970944j)
163,(-0.30060421002510884+0j),(-0.15358740498143486+0.5641330097575331j),(0.031217916537243096-0.17234627449905746j),(-0.3850398787927157-0.13612194318479393j)
164,(-0.07522592431488011+0j),(-0.2589495308689458+0.26702414978934247j),(-0.6037089932971962-0.44590413070499j),(0.11858436901073535+0.4860414864437295j)
165,(-0.4133020869685631+0j),(-0.10635035183467523+0.1519345304752062j),(-0.4236013135019744-0.3224260648062724j),(0.34405152232021585+0.15684123988646204j)
166,(-0.23835123755114412+0j),(-0.024798155869108822+0.18332830921948454j),(0.8124358776881268+0.1125625407725927j),(-0.24991821266718378-0.05106123022045128j)
167,(0.2447546113504473+0j),(-0.03368231735454006-0.056111795181411336j),(0.49068889187412984-0.021587645664048687j),(-0.19876631295875113-0.4212016322543385j)
168,(0.21466692012057123+0j),(0.3303442122386113-0.2785536863685835j),(0.45475912048263534-0.8435282159874595j),(0.21840730848712206+0.27521412269582923j)
169,(0.20449153214799476+0j),(-0.0995328516506812-0.216309953583492j),(0.1512804282529424-0.7479914512657221j),(-0.5106776506801608-0.2853479874453662j)
170,(0.20949192519300297+0j),(0.23039731774777614-0.025076771730173527j),(-0.47034789309812297+0.5111415637843925j),(-0.08819638434043173-0.3394230925235281j)
171,(0.014843402295956806+0j),(-0.1408865975520391-0.27928769976518986j),(0.41518726195205485+1.075625053682618j),(0.06703774634821397-0.31713821698907857j)
172,(-0.003729255401537436+0j),(0.245414308681976-0.27287311600362296j),(-0.3874854573677692+0.23199838926815805j),(-0.5191237551388198-0.07639247601385034j)
173,(0.30005395538138563+0j),(0.07519844385611804+0.13344004792654887j),(-1.0719756895793093-0.2633924341358694j),(-0.23692889657540792-0.10185099233791238j)
174,(-0.3431388914233916+0j),(-0.1964994526233545+0.31996473631880346j),(-0.6218667177049363-0.537292645759927j),(-0.021427313730390515+0.26885582639692257j)
175,(0.4730686068104513+0j),(-0.06301341872551985+0.21664358254534552j),(-0.5610925759113493+0.6950643510164949j),(0.3463490636413889-0.36984954999143393j)
176,(-0.329611126555204+0j),(-0.14759327016147533+0.11715805076224967j),(-0.6710340008476863-0.6689867095711884j),(0.0956877601986695+0.02899125065334037j)
177,(0.17818884465675233+0j),(-0.19850434842979386+0.1016880116283854j),(0.6126835839786996-0.4909025150884749j),(0.06722606203333377+0.18971913949038907j)
178,(-0.14545513996857032+0j),(0.22721958674548914-0.060610196890739904j),(0.4321113176362869+0.16794245103282168j),(-0.27161055562535275+0.0909236736793419j)
