,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
20,(-0.2774063448965437+0j),(0.04957496643805257+0.07768401195584121j),(0.09141593899488536-0.01899141384029552j),(-0.016883389751153173-0.20220913062170773j),(0.0006015162366442145+0.17422953049481676j),(0.10057868152196602+0.9962123616911596j),(0.12288896153649934-0.1508539738435111j),(-0.2643969250549015+0.2302692951169179j),(-0.09761296912019453+0.097469445093189j),(0.09103896185220102+0.051945103509032295j)
21,(0.2517232671261342+0j),(-0.05304209179386543+0.16420607682541283j),(0.11866373292901758+0.0800139684002064j),(0.25820122793413613-0.026525334660242806j),(-0.4814584293553974+0.18493825900889488j),(-0.21379856539247244+0.034672020303524426j),(0.3959046046838819-0.15520321558410083j),(0.0594196141572446+0.19115210949993136j),(0.12171669627456268+0.032835955877838385j),(0.09728798472029329+0.10792590473924268j)
22,(-0.11766626547386538+0j),(-0.059063828795145504-0.028170223263579257j),(-0.02974290005485651+0.018921845906116355j),(-0.036942966764645875+0.1432808040476048j),(-0.44522793020849644+0.0684430075943513j),(0.1824796480430979+0.3064303743052377j),(0.47244521536453904-0.5047460316776073j),(0.01296312039347955+0.15404887855893024j),(-0.2037580981402122+0.02991853154940409j),(0.02877569583446874+0.13310662153079006j)
23,(-0.38391491352322704+0j),(-0.12625805021319156-0.035236343892908716j),(-0.10439375023476388-0.02077818418203714j),(-0.07503569683613494+0.3392273555614742j),(-0.12012733582903415-0.10308029145013427j),(0.33365607097641403-0.20684813192363055j),(-0.45490308316711225+0.03212486538930462j),(0.03939649696573127+0.0374770171871794j),(0.10455796230144174+0.04006061837996439j),(-0.07561979070652398+0.050960738030317816j)
24,(0.3362464484058127+0j),(0.04580408286804655+0.03228058571940889j),(-0.0383125259343336-0.01446835476870828j),(-0.03724742737153712+0.07915666222955042j),(0.05289460042284881+0.2637944682129056j),(-0.32403994284943743+0.2477029640768387j),(0.012295334300268568-0.19403681604905865j),(0.35961883220783636+0.02136840992534378j),(-0.08927342141668226+0.02572959772389065j),(0.03357072551190952+0.12199276294253653j)
25,(0.364538063538737+0j),(-0.00907003533698645+0.0451003460052377j),(-0.049439817403916966+0.047365121528844964j),(0.022108521269297826-0.034716575800569j),(-0.1921837901867211+0.11537249663714653j),(-0.12862745677642812+1.0043771266357058j),(-0.11351158057503044-0.2298663186336906j),(0.25854526701643143-0.07533429344987524j),(-0.03267523368015807+0.12871503760757355j),(0.06766662932028457+0.06013085830475719j)
26,(0.39513073976556246+0j),(0.055005038289359626-0.11915288113927922j),(0.0316875281334488+0.057563799304239896j),(0.010216382330804661+0.14838837243239955j),(-0.1703954221582588+0.07689980930393481j),(0.20645831535399603+0.8095341751653636j),(-0.36124502546626996-0.034772060581717j),(0.03279527872540618-0.2654968450904594j),(0.1740162887142645+0.05098667296045845j),(0.00035073033848025126+0.13398807487032613j)
27,(0.3184554678698604+0j),(-0.04586518846927065+0.006883017010037434j),(-0.030694641329837347-0.0612710743974915j),(-0.0150919839589319+0.05983065650665645j),(-0.10151932304120088-0.024060688518059307j),(0.32828677931994676+0.9479518274163288j),(-0.19543791054523368-0.15639087889930042j),(0.04616253406464954+0.05706770758726917j),(0.10823182358233101+0.012895073479729725j),(-0.01710012104001097-0.030033582588691217j)
28,(-0.03686681479952758+0j),(-0.13968488705494234+0.01120796057146254j),(-0.07303558980802541+0.003850830395981719j),(0.06608676196633662+0.06390766535312248j),(-0.1663731088698326-0.0989398001671239j),(-0.22642547355757298+0.8937453951940306j),(0.010672780212110624-0.3323954331035484j),(0.018756301820304768+0.08437364858913525j),(-0.004398425360891103+0.016817498683478815j),(-0.08657746318054046+0.06565244921518376j)
29,(-0.08503270780746286+0j),(-0.11681468007413942+0.04367768312498054j),(-0.09639446491434127-0.14185816145187802j),(-0.015893873900580162+0.025015177045543097j),(-0.0005023745679845724+0.15440381304901804j),(0.13428770490369807-0.03587748325725479j),(0.10472034634603462+0.14486975839405852j),(-0.21531728652616386-0.0911624018638501j),(0.034516371284293704-0.09178094651384959j),(0.05607356845858792-0.029026066567638537j)
30,(0.12203705934499029+0j),(0.06803380643415673-0.11232886845577411j),(0.1233614462328072+0.12393545110179296j),(-0.04028840458670553-0.2262734955229147j),(-0.09381333692173652+0.12026021857554516j),(0.27645321830278224+0.0188192121992213j),(-0.29902034730765803-0.11868158486430844j),(0.05261208229516348-0.004327752456861136j),(0.022463607986725212+0.07096912966851733j),(-0.02302599907492668+0.029766149938454667j)
31,(-0.5769139711630231+0j),(-0.05212346465988462-0.05401013580835335j),(-0.04866021339015423+0.27267458592282523j),(0.46559343853017-0.09023784937388402j),(0.13934010591304125-0.15122492253282513j),(-0.36043416094034597-0.6459204996758974j),(-0.25623101219930666-0.2534484518829218j),(-0.06065469942297481-0.12107382821613295j),(-0.05905927210102863+0.10588319743912952j),(0.005875694900686041-0.04041787782008576j)
32,(-0.27462026302672315+0j),(0.0715213072471931-0.07536199048655125j),(-0.15981559371652876-0.10872790705858254j),(0.040343043310430836-0.016847326648343007j),(0.16912251101087328+0.098457306986486j),(0.3844452935348435-0.6197366844991223j),(0.10441154124374376-2.8313689977209344e-05j),(0.13906439543289426+0.0020700209918549806j),(-0.05659125867695886-0.031167930583277496j),(-0.03050599129485776-0.04606902252709424j)
33,(0.15303420888804983+0j),(-0.009221632985871836+0.03745538741080252j),(-0.16765666814057467-0.07311381957282902j),(0.053217696878390564-0.11557106744068707j),(0.364244117513767+0.17840541309894484j),(-0.036586945536682645-1.0089465697438162j),(0.19881580778029131+0.33926917490287156j),(0.02727416256700775+0.14244358673102286j),(-0.05041961893131652-0.030483890981921512j),(-0.12543105592418735-0.13133189169523665j)
34,(0.4594774757076823+0j),(0.010273965663643084+0.1012944938131348j),(-0.08713029767467223+0.009555366307618086j),(-0.0053390211826613715-0.3329821052933511j),(0.32035976066717986+0.1500059079033697j),(0.3756371023377699-0.51869178627945j),(-0.07332355457517656+0.2920560775040342j),(-0.07098204101683692-0.0821451017323103j),(-0.012244593663701205+0.036745087987566115j),(0.012042978945282536-0.02039767235375948j)
35,(0.7601352598011378+0j),(-0.05584953234502681-0.0059743608267789836j),(-0.13670795907810465-0.10937093321408871j),(0.13336965171057544-0.06945407498212104j),(0.17234734829688295+0.065946844223382j),(0.259727842084143+0.3170134141452642j),(0.368586446595499+0.010868229584898248j),(0.01235686354593073+0.10000364792293692j),(-0.10177968682843785-0.1865136771342159j),(0.036240047339637455+0.026736756556060733j)
36,(0.4021256746939522+0j),(0.009729783114724635-0.03683454903398661j),(-0.1795668777626774+0.03589870217877503j),(0.12197940778132704+0.12523051931661952j),(0.24551475159182415+0.021684272190588882j),(0.5285472589769444+0.3725345699289846j),(-0.09614454498070804+0.02949262935692472j),(-0.03021371394026863+0.002700403501029073j),(-0.03120377903374294-0.1273123273320051j),(-0.04151889168964493+0.04868245100601457j)
37,(0.452922961161879+0j),(0.004489209625742702+0.0177680849345277j),(-0.04168775583107511+0.04068926006877211j),(-0.2523637793154442-0.24832423076633858j),(0.4241521049284093-0.0814254602823521j),(0.21887844503897552+0.44617660995269676j),(-0.09853165047737854+0.11939122106220013j),(-0.08334014069915889-0.19319290192026073j),(-0.08311289010642305-0.08198807106023435j),(-0.20713740711322512-0.013935268673806983j)
38,(-0.005444742472514252+0j),(-0.06257797559559959-0.06640273916547343j),(-0.1296266481582027+0.0793114840715324j),(-0.19019573586202465-0.06436019905414381j),(0.4789226632250033+0.43453471447068265j),(0.5713729343961751+0.30124102537104436j),(-0.3562502497172121-0.09102211876602026j),(-0.060963712998270726-0.1787398553072868j),(0.07820408285393879+0.027936623329795986j),(0.03305930805297945-0.01926935090315846j)
39,(-0.18205313716319732+0j),(0.006820611846961247-0.023960909299509642j),(0.09027593946623735-0.02158610651466717j),(0.07777172004931851-0.3374884275137873j),(0.02647353189825175+0.2646386426494666j),(-0.08773782334998152+0.3662120365411161j),(-0.2625137893613756-0.2061566411095621j),(0.20834148900915153-0.07085872384283261j),(-0.14897317742081562-0.14828847376818996j),(-0.06377568482617708+0.11119970292357817j)
40,(-0.2731158492841601+0j),(-0.10772312447185005-0.061004122764081625j),(0.08454748855870278+0.09603389790911651j),(0.22541199695316513-0.09982083931775025j),(-0.24457715087317428+0.11329381778151035j),(-0.01861986559880893+0.15030058829174292j),(0.6664876533138966+0.09296532013382885j),(0.11580034974442593+0.149787526416031j),(0.006574003399062051-0.1439995196623982j),(-0.03139752599061171+0.030939340365067253j)
41,(-0.34506862205138156+0j),(0.0698403598612613+0.0424246005267746j),(-0.027176867946714714+0.0722747994057904j),(0.07202431298749534-0.16705200342096665j),(0.061850509778138336-0.11284430596445112j),(-0.3075141449351063-0.7811244520466377j),(0.383229181153669+0.014257980794492267j),(0.09836171130506627+0.25284970767442205j),(-0.11554076461231345-0.00750406231257832j),(-0.06593443182461861+0.0020960626411445156j)
42,(-0.16234267853843637+0j),(-0.09994476378936269-0.10038524443633136j),(0.03227836780686136-0.04825750984042621j),(-0.06309891742511321-0.13516851886312997j),(0.05828311273112782-0.04718550123424266j),(0.0127352783003927-0.26574037522283034j),(0.2780541179944027-0.18156365431880503j),(0.09702504332747855-0.000846213632877001j),(0.009028623872932073-0.2424590368987383j),(-0.08084598483034311-0.039488590291117384j)
43,(0.24044102651010318+0j),(0.0007928286088546913+0.08969390889448231j),(-0.21031044297625587+0.09607615193192318j),(-0.3249663547300579-0.16047694629309125j),(0.29265233184291306+0.21682915958270277j),(-0.13610204622702485+0.11045864823113355j),(0.11992680455512836-0.48725005193312215j),(0.00847329566455475-0.048011501634283735j),(0.10257529823906503+0.06183918226183053j),(-0.08536579475388915+0.09454587566079037j)
44,(0.15632924611976085+0j),(0.05349913298196875+0.009317527628916012j),(0.03752229406109782-0.032181020638292826j),(0.008554025393502529+0.2037081487921559j),(-0.07573098945171762+0.24150342829699575j),(-0.19095536994200074+0.29117568260223475j),(-0.1652614115591214-0.44513099435281145j),(-0.08167913052379694+0.17633039541299567j),(0.027318258386428443+0.007316294794098878j),(-0.01433019630016523+0.0001630522462888681j)
45,(0.3409163896412334+0j),(0.018512601538770167-0.04048182257420395j),(-0.02585229587250215-0.10799340548853423j),(0.04076407098663472-0.11526078279162476j),(-0.18698427455229968+0.18726771451660043j),(0.9836058678435938-0.11443305364642314j),(-0.05413150666360958+0.04339428742232568j),(-0.18961502492148397+0.03280380259867158j),(-0.2113142888611592-0.17651853237996518j),(-0.09969676229999727-0.04527635813868225j)
46,(0.11540869843975099+0j),(0.02035947306927703+0.024622159124710753j),(0.15916689844128643-0.16687006279195565j),(0.09075359964721338+0.10752817075893288j),(-0.03044120231433766-0.04008075050391806j),(-0.39636572922132624-0.8019225773931569j),(-0.021162278423877665+0.32345129043562737j),(-0.03180841770250603+0.01824525421115012j),(-0.012458425971959144+0.06439075715959677j),(-0.0006834904659918234-0.07620706249048116j)
47,(-0.37376377965015106+0j),(0.05300998649653491-0.11092236180802197j),(-0.06360590968691344-0.10984986141694225j),(-0.1313299359048623+0.039275047088746684j),(-0.03171260804913395+0.03410776821482085j),(0.10637445780756037-1.0035866260944497j),(-0.10118196029870256+0.3094589845184659j),(-0.12474827037896626+0.20954067247085958j),(0.12028979434492294+0.04252462906850315j),(-0.006628439836376666+0.1231229273282586j)
