,amplitude,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3
57,(-0.27106323889162043+0j),(-0.15510232610352997+0.04592081558541217j),(-0.1782732558268157+0.10919639809807773j),(0.1960138221839448-0.1348384007985464j),(0.6972559763509356+0.7052095313072423j),(0.15075718629585103-0.22632058025587123j),(-0.0993766986237264-0.16549450422766215j),(-0.09669575194637758+0.026624977897446715j)
58,(-0.1492894896341728+0j),(-0.07889495608832359-0.00012918674202864154j),(0.15665431703681115+0.021969398072703712j),(0.21131117632600935-0.3043301734028658j),(0.6096399362413185+0.7595378515580954j),(0.32592017645834875-0.3105167215742819j),(-0.056150300107960585-0.35848586873537264j),(-0.15093432117034758+0.07284126011290626j)
59,(0.04534996486693399+0j),(-0.0420803289645505+0.0634827101694233j),(0.09551155398517217+0.10138700252285007j),(0.12285732008444095-0.42003801892091686j),(0.5043718202032382+0.4867657046214515j),(0.15252907773104404-0.363029227839894j),(-0.04631985524118949-0.16739442406077787j),(-0.1406184489481805+0.11730212331671695j)
60,(-0.12521618903632634+0j),(-0.07929083722369498-0.11229253439558008j),(-0.06360073790076656+0.2056394931819667j),(0.3160309815940432-0.4525694922539698j),(0.7210856076038901+0.8609365258653939j),(0.2215437550344726-0.03482568851842394j),(0.03737810059182253-0.15356838414371365j),(0.002308444464786036+0.014290407441842498j)
61,(0.19800758312628153+0j),(-0.008732896400981377-0.20532080422341017j),(0.03927928326590796+0.053304761581632304j),(0.3125229728528205-0.4103480839130449j),(0.6223858678280535+0.7224571163954914j),(0.20835291511075335-0.06527422074154074j),(0.08284040413063741-0.09050285297689029j),(-0.028993802677917412-0.07263495386399813j)
62,(-0.3471447985893917+0j),(-0.031845091027754596-0.01382653904142301j),(0.12011371321859723+0.17399508658425697j),(0.3720535776566254-0.4709686134651935j),(0.7823856269807765+0.5377532974442625j),(0.15611170868581625-0.07797614607713639j),(0.048714226497112746-0.11545451373640617j),(0.07813861456620927-0.06923384584400748j)
63,(-0.018642550036175876+0j),(-0.05214231371373877-0.10075906885058476j),(0.032819443578983906+0.08358166545554711j),(0.29592797391811-0.45770875961563234j),(0.7718893919601766+0.3366254548840588j),(0.13604326582810905-0.01742918159963598j),(-0.10505511852030697-0.0710817843659359j),(0.02756094399170634+0.03129892985653915j)
64,(0.24552775932930784+0j),(-0.08492483937484223+0.03379559020451979j),(-0.2483809703266232+0.03692221412142391j),(0.3777880469461811-0.48079587471450097j),(0.5256527255837788+0.43171050361676816j),(0.11039500030931966-0.12085616273149749j),(-0.1728547303425042-0.21645460831991095j),(0.04241067334064163+0.08909399440091238j)
65,(0.0015942234453702464+0j),(-0.027681141017050794+0.14834450567142293j),(-0.35547427923152075-0.054255329239393225j),(0.2927767827627019-0.4136065984489094j),(0.48932378563015533+0.4756601742025911j),(0.09243062484142596-0.11554486713354077j),(-0.06930471251851367-0.16747700271453936j),(0.1159470141853555-0.0428561832553926j)
66,(0.0015942234453702464+0j),(-0.027681141017050794+0.14834450567142293j),(-0.35547427923152075-0.054255329239393225j),(0.2927767827627019-0.4136065984489094j),(0.48932378563015533+0.4756601742025911j),(0.09243062484142596-0.11554486713354077j),(-0.06930471251851367-0.16747700271453936j),(0.1159470141853555-0.0428561832553926j)
