,amplitude,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3
24,(-0.342935312618346+0j),(-0.07651011881872147+0.0054180022862819035j),(-0.05476539882619416+0.11565653655996122j),(-0.5111198932849201+0.38506033896889214j),(-0.029487075035581345-0.6665075223918567j),(-0.02312238436796124+0.03028451176527279j),(-0.053899888317319594+0.0639169865009423j),(0.039308172699612835+0.14773900477668353j)
25,(0.14285307203070358+0j),(-0.2025519968560356+0.057731991433459j),(0.005436276001764138+0.11073116001268005j),(0.03194584148609041+0.07019604145210238j),(0.4708012606093174-0.41874036892008215j),(0.1641875888165475-0.13334428113643693j),(-0.0384220733300997-0.029716577993827265j),(-0.011683312386072238-0.10980982722311071j)
26,(0.1398895161934626+0j),(-0.0020041650856818596-0.04789669728826972j),(0.3937589441642133+0.07498329826955522j),(-0.16260836626572128+0.06556860396803456j),(0.34572554474968875-0.1654262198521257j),(0.4131014589270477-0.45818791305605294j),(-0.0368609291845761-0.20884901750456103j),(-0.06276914445686+0.031775386960493125j)
27,(0.3195114271661005+0j),(0.00685004670299689-0.14117053812990232j),(0.03436076755309937+0.007704213287828027j),(0.24508597862217324+0.09126102896384444j),(0.3800952307556035-0.5099656125110257j),(-0.08696211622205147+0.0796099879692089j),(-0.175794707692796+0.08359203945596808j),(-0.14863833299478518-0.14031787704809312j)
28,(0.1501327655418326+0j),(-0.09388435527747208-0.05071669330262013j),(0.15114682719811492-0.01089059350426334j),(-0.09825743854585689-0.21898354737843786j),(0.4118601883287053+0.1993304638430443j),(0.26570840601152534+0.32946258777276305j),(0.1722025010421263+0.29822489949265735j),(-0.03234343032458513-0.004817880033853807j)
29,(-0.20516584784458708+0j),(0.0016320306669239393+0.08496754606664911j),(0.07418753093292578+0.036820981378603596j),(0.2512153895417266+0.49728383605116583j),(0.44879670028088336-0.49093545286887424j),(-0.032947663743018774-0.2955072331140844j),(0.17929595765532597-0.1314866862372936j),(0.13088709369161097+0.035096943621516205j)
30,(-0.3660965996797363+0j),(0.059581059917185965+0.07165745572108985j),(0.2112838253304256+0.03988449191572425j),(0.29293760334506197-0.1508020652481255j),(-0.11883054035359299-0.3598508988573614j),(-0.019226233164148128-0.18818689173502365j),(-0.16384930859500532-0.16781050350604465j),(-0.0010003084224635955+0.0600696107582962j)
31,(-0.1968456985214332+0j),(-0.19242003686942027-0.1299127574720781j),(0.1763042965963341-0.236338305585221j),(-0.7517024983370669+0.15903144713275744j),(-0.24747100974936964+0.15841594463400357j),(-0.1590452599830799-0.08638311063406419j),(0.04195595522000718-0.09374096370643012j),(0.011198167543196247-0.06162631131504309j)
32,(-0.44574131708896253+0j),(0.003603557567409821+0.09057348016767182j),(-0.0030991274517922895+0.026131333301443224j),(-0.33112341138659834+0.3043069639687595j),(0.42604566746988176+0.11350046890349025j),(-0.5713089881170296-0.06340839015581679j),(0.032279932869008786-0.048262290766114435j),(0.04378492076659628-0.0007709572160451775j)
33,(0.07573755057239878+0j),(-0.03062981259799545-0.0003211629629180576j),(0.10866469406476845+0.1200351562829001j),(0.14501569197400083-0.0945785556043572j),(-0.8977858281992491-0.2288005257659144j),(-0.2955586403924736+0.24258332133422125j),(0.011250518020267965-0.09670726321002611j),(0.06749711610420042-0.22603479440306318j)
34,(0.011639794533296208+0j),(0.15246148598781709-0.021174207124006934j),(0.0003258641370844223-0.08498060307906716j),(0.29570027956137973-0.03534005614536556j),(-0.3329674086401659+0.08957518140679693j),(-0.3498248641894974-0.14573587415741096j),(-0.04206122469797938+0.1578239622823563j),(0.10482104987631642-0.1511129111470482j)
35,(0.4210935418316112+0j),(0.019557088382546432+0.0016100103769316233j),(-0.17580481333929665-0.06485283860167317j),(0.06170620444778724+0.17223103249266086j),(0.2967043407955186+0.3793845846784394j),(0.17434012635760604-0.4149096675646088j),(0.17020432220143678-0.028919058088549346j),(-0.13785058812334808-0.019116030727333356j)
36,(0.02792600755055505+0j),(0.08419190204001481+0.11331570809976356j),(-0.11484407749314846-0.14180725904365618j),(-0.20747890995837215-0.0003319404500213563j),(-0.03388119416852197+0.7038042851785327j),(-0.5146252244437197-0.1597405652312747j),(-0.0451868311342407+0.05466915779232354j),(-0.013842459717500892-0.026951108360546625j)
37,(0.13341580251336504+0j),(0.016538277747993397-0.01852656235210992j),(-0.02935255353410102+0.23717982172999133j),(0.15550098465026815-0.2613549427154483j),(-0.08010109087048273-0.7372695427759637j),(-0.14580136334405014+0.06612519729382274j),(0.04294934274514639-0.0779968811349113j),(0.04183882966810809-0.01454098824323418j)
38,(-0.09542682534401982+0j),(-0.009018230503275883-0.08245416077310426j),(0.34713780334856764-0.10394599252877333j),(0.23047144477670595+0.05208008306450718j),(-0.19198312200680742-0.7085548357490535j),(-0.07790782479235481+0.6483603792965731j),(0.07124265423791301+0.060886046339712j),(-0.20248195838201719-0.11355311795219171j)
39,(-0.13065635335404335+0j),(-0.018342412443341942+0.046419192796394844j),(0.11394717970046178-0.1540264961280714j),(-0.010944670751195734+0.14935777632924604j),(-0.3809864192546858-0.003907302827584308j),(0.09191164482604848-0.1809975248334721j),(-0.15357017856709032+0.20038696881015708j),(-0.04252278206046281-0.04591643244489747j)
40,(-0.5651069368927304+0j),(-0.09847472912323056+0.06640122537238022j),(-0.08116835402033641+0.04844494986622262j),(0.08520896216210555+0.5156654019135158j),(-0.7488508075235966-0.2328739164957636j),(-0.4829800268638486+0.0582125807552748j),(0.39051654901506483+0.07106180223106325j),(0.076772350414853-0.16966346733004228j)
41,(0.5025825536175508+0j),(0.01770523822642707+0.006368373741480157j),(0.08044158389526107-0.1100615562364051j),(0.04104084115612085-0.22851614545041263j),(-0.32382045048380437-0.6906207503566256j),(0.24565838454544536-0.23286512684348953j),(-0.38543933188680995+0.08331519936999668j),(-0.05881736710862309-0.04415737855127359j)
42,(0.04461161926262171+0j),(0.09659450001961538+0.1219649434781759j),(0.022125635467007333+0.030517033487586796j),(-0.5036853540028932-0.3780354380085249j),(0.5568000985354299+0.038601269296687724j),(-0.25439049837506-0.17895086366822327j),(-0.20641658736225987+0.11355926683446714j),(0.007460778719545563+0.04917863450654884j)
43,(-0.2497712065449934+0j),(-0.09460133524071221+0.12467455685884794j),(-0.0026865184474206315+0.03140339467806556j),(-0.11808598562785197+0.05972031264817901j),(-0.9898775048102969-0.2974868963255118j),(0.3594039779016861+0.3496610916511817j),(0.09829840385296036-0.07366655727679505j),(-0.0064544978161411755-0.09496940941690998j)
44,(-0.2299661057821904+0j),(-0.033304464903477986-0.045440372650497565j),(-0.20903620387331434+0.0626973610503172j),(0.21885811377221825-0.1746306967874693j),(0.41232460813325855-0.3851393302015213j),(-0.16674427863146013-0.4987046978903872j),(0.13199605320792757-0.24429254704627257j),(-0.16209890290397128+0.1285197615112959j)
45,(0.5206078162648111+0j),(-0.03940048277677947+0.141784370223147j),(0.07198782379951829-0.1399788202881949j),(0.0874174625858326-0.17656691873703467j),(0.13286655185663568+0.8814682392153215j),(0.027026378701659276+0.19045982473466128j),(-0.1809681289878579+0.008539426400237603j),(0.08114710698227137-0.20222815963631333j)
46,(0.36210745175624715+0j),(0.04902860401077385-0.015001274513413064j),(-0.1601809866716531+0.14114514921678176j),(0.13379538542718736+0.2098619957009557j),(0.20814638240153643+0.19906570132691903j),(-0.029566222207506626-0.5461905162901836j),(0.1106009100706312+0.15112392622984847j),(-0.19372395287371916+0.1582310244625231j)
47,(-0.09932491121676455+0j),(0.09678290327236172+0.0653621634923141j),(-0.18685765354364936+0.36019168264048734j),(-0.35128103842270636+0.016900683741734084j),(0.3422512195424199-0.694070862121948j),(-0.038543363869555994+0.19126444711141663j),(-0.32126039711263016+0.19426619419520846j),(-0.08956256594541301-0.02985402838095022j)
48,(0.2181379447800269+0j),(0.024432848360180753-0.10795509988608801j),(0.1722723728143572-0.04485235367266321j),(0.12083430242510101+0.1580374768224133j),(-0.7030151914283965-0.09562253220546213j),(0.024653123513201335-0.15450035401250012j),(-0.25750343206572324-0.1252636057801136j),(-0.010855157605909087+0.07615729553361354j)
49,(0.035585611321789834+0j),(0.0073040154132829865+0.3232251855598639j),(0.16059224892883242-0.05235341531759412j),(-0.32846222776206163+0.20982914041126238j),(-0.7622631885287268-0.01433873526277997j),(0.2979744872557986+0.011791827778736996j),(-0.022526041191495635+0.0008939064504300612j),(-0.1382423853095867-0.11253670283352385j)
50,(0.18713176885035543+0j),(-0.037253582693413764+0.054834955563526515j),(-0.0014036851997794655+0.15558940926027617j),(0.061946572998495944+0.3273392261836877j),(-0.4417739002447063-0.544204054024038j),(-0.3044650799579679+0.12394785809820173j),(0.19843226055263746+0.05337357228227428j),(-0.1648556890536919-0.19881815577042847j)
51,(0.41048571345616025+0j),(-0.03757358222353543+0.09093573576016399j),(0.19345525336853492-0.14072555108480292j),(0.254312982852936-0.28061572088031933j),(-0.487104840691323-0.1648367021321715j),(-0.14696593451266893+0.3020896784975629j),(0.13247190767176453+0.23831628706604346j),(-0.145351097705257+0.07345187871940731j)
52,(-0.3574070553602894+0j),(0.0467516530262391+0.08788937678864482j),(0.1411644785882495+0.07283826524361649j),(-0.012393254640398005-0.03387383831803975j),(-0.3097450110673641+0.33821050109427236j),(-0.1213724173452997+0.18208077628641836j),(-0.1115622993180141-0.10875028830540855j),(-0.10974235964106076-0.1453125730142992j)
53,(0.02590673308972327+0j),(0.055628002517960407+0.047975155394045496j),(-0.5722558785548936+0.10064942904729307j),(0.08702810397689041+0.052535512585603114j),(0.17880589259770363+0.10291952634489014j),(0.10782111001251686+0.05476095571709328j),(-0.054783968974141006+0.23654431853268965j),(0.11939911887982264+0.02787970575871431j)
54,(0.021191933567819343+0j),(-0.057821673078776406-0.1213136046786301j),(-0.0010051390050184184-0.09692614825678667j),(0.45736733120097195+0.32822421690037873j),(-0.3353214967278985-0.35929113415379105j),(-0.27787509758042106+0.1949805419528133j),(-0.11247878423143567+0.2221296631238039j),(0.05537410335776532+0.048554236143554474j)
55,(0.006110876555838141+0j),(0.111146539392005-0.0395864523137208j),(0.1316807840937421+0.08943062703324192j),(-0.02938674961471488-0.4103985885785034j),(0.28847336848639726-0.550890193853184j),(-0.005721635267860771+0.09443918978645174j),(-0.041925537061884816-0.04962684828810354j),(-0.01779235509470058+0.050967713390501615j)
56,(-0.33130727788689623+0j),(0.0022809822917468654+0.18650810204905197j),(-0.04283207780963709-0.019432662169312595j),(0.39241916542213606+0.3155980922435979j),(0.03156502474574119-0.5566566420225594j),(0.013580601484880273-0.157023408443494j),(0.30217865330095167+0.2175264614050239j),(0.1958845074286885-0.04571041865399862j)
57,(-0.2106997636578714+0j),(-0.1526108129509561-0.023834422469180574j),(0.1711762757336161+0.02253387370937584j),(-0.047346099264609726+0.4506584594460751j),(0.803414250559848-0.1763235733023522j),(-0.2347323580288536-0.1448771185787263j),(0.1328615163908825+0.07392965272065871j),(-0.030255852513602167+0.0012657495838416175j)
58,(0.2360737064014869+0j),(0.06978278266399679+0.04254853799286202j),(0.1888190908041071-0.16607716040019865j),(0.1556516547067765+0.010427106835780891j),(0.009141147708777747-0.981291248165188j),(0.17816206095147796-0.08981368440436899j),(0.147772617277025-0.10388609420320417j),(0.15352794502502615-0.020598269005922452j)
59,(-0.034015452893822684+0j),(-0.16699055535290439+0.007889756935273912j),(0.0019391529788487655+0.04273608171500831j),(0.32426436328316816+0.024117515059199457j),(0.06920332299093199+0.5518063927848368j),(0.05870570018144552-0.09110759619198554j),(0.04963816866135498-0.3433300165572222j),(-0.2008919008210302-0.02587020322765654j)
60,(0.03040011955513558+0j),(-0.21170172216774275+0.14773817231057126j),(-0.19422275445948223-0.15626583763911728j),(-0.05789528545818917-0.12178566016162513j),(0.3503019110163679-0.1295741060482774j),(0.39676110998489283+0.01709852449833281j),(-0.09970829654700542+0.0782827229653628j),(-0.10147834234332562+0.08017759867509756j)
61,(0.0657711572112244+0j),(-0.06135145360067218+0.051503995943948035j),(0.03548121987567407-0.08031971567456844j),(-0.4632028526601868+0.1480140408644168j),(-0.03740703055628411+0.6121402278578691j),(-0.001404836593350816-0.4908148813290255j),(0.22973874229354196+0.3510933737443785j),(0.15104092884073672+0.006282942664840023j)
62,(0.3352572481871321+0j),(0.010011343360221872-0.05508340709980275j),(-0.07312633048087556-0.11930376220878795j),(0.48888300121709866+0.009227628892419315j),(0.39926114374104155+0.004447366007781672j),(-0.11266357165940516-0.27246254833556227j),(0.10359398839892947+0.01642342036331224j),(-0.09109528545210323-0.07092317983092614j)
63,(0.44132855415525685+0j),(0.1295919339770144+0.16706900894316168j),(-0.16252788188489073+0.13246710426438724j),(0.30308754905817054+0.09971441761319358j),(-0.42363959450266103-0.47349351350022656j),(-0.2607189292643963-0.0728960430621109j),(0.17128389047499715+0.07656528623294451j),(-0.06013589016544369-0.07135556997756007j)
64,(0.3264599605166514+0j),(0.038436919889348276-0.0781119313712408j),(-0.20553813119982398-0.1821431204317252j),(0.3443830202415738-0.4065035151109839j),(0.2663517459017295+0.3662034059969802j),(0.20475474590994613-0.05350083933904346j),(-0.03219032817316457+0.02028207910332005j),(0.10518420552519454+0.02980600293481746j)
65,(-0.37874858011006485+0j),(0.04587459457118133-0.020907172508707328j),(0.31706100723416514+0.05532871280572107j),(0.13891692317330565+0.006236516432928881j),(-0.3396184222706471-0.9121094459463738j),(0.037236510174401216-0.16329118581265623j),(-0.1008184709994501+0.20928851686911942j),(0.2445469382479888+0.03090090313376501j)
66,(-0.33331021559460505+0j),(0.09655440875126467-0.1774052786877669j),(0.2610762948767328+0.1286019416168297j),(-0.07194188641156454+0.35485835582204206j),(-0.3204463947535509-0.33048637094088984j),(-0.25943771990802+0.21313317380145821j),(0.22603638894450817-0.2167160562792933j),(-0.022842777186917157+0.15783266742827845j)
67,(-0.4279425107425051+0j),(0.07513389431898185-0.09609644425774977j),(-0.09491757318334285+0.19138385569014776j),(0.4094126293602075+0.0005730540075975683j),(-0.33087489518217705-0.700568285499816j),(-0.19749878546409005+0.3757183672287252j),(-0.04743739764049503+0.19554764192702412j),(-0.07202586649105164+0.11713007224874863j)
68,(-0.04873177160425424+0j),(-0.08220236503531284+0.1091563449473894j),(0.035023062900129825-0.17338760893449218j),(0.07156704247696588-0.21853645747572759j),(0.44569844818551047+0.7619187696391194j),(0.12258105121935427+0.012899974831299961j),(0.09901979922101581-0.37974408893393585j),(0.009104962124892438+0.022177944405763518j)
69,(0.14345246728294958+0j),(-0.16343223855489108-0.10736389653227349j),(0.0833579069493287+0.05588005906460815j),(-0.3182781111434593-0.43275540499424114j),(0.4487671550876751+0.17770584598223801j),(0.3380680232187018-0.16805645370181277j),(-0.011170391910645103+0.19590519989707386j),(-0.059104036133962395-0.04111018928954489j)
70,(-0.06184781162011882+0j),(-0.04834601040011189+0.04979917159041746j),(0.05722259849253057+0.22179271284491486j),(-0.2883762708631414-0.07714714419033891j),(0.20077097008794614-0.27066804520457943j),(0.5389467670363581+0.14801112716212012j),(-0.11506516861929562-0.10770526483275251j),(0.10574987913002404-0.18343922962632364j)
71,(0.23666587105313114+0j),(-0.023871626459864924+0.15385135038772454j),(-0.039231824781629655+0.1532073328470579j),(-0.3600258713174737-0.3014319068181745j),(0.06623329539807107-0.3166307804052182j),(-0.4028291485183428-0.2879577258877631j),(0.15275402539494595+0.003471649413507817j),(0.05145167581876479+0.09476460032491277j)
72,(-0.35539391630892136+0j),(0.03992172198687934+0.0742353077910705j),(-0.057095205409826405+0.18567128317823964j),(0.030669430141376908-0.10511568208629525j),(0.29692228826669276+1.0110210536058317j),(-0.20368461316248+0.12685455368143916j),(-0.13765706247579407-0.10196647487144704j),(0.18791227547212938+0.09881559652197387j)
73,(-0.20660124929410328+0j),(-0.05985815016060248-0.11979630052652043j),(0.044787901965030415+0.20869714973386314j),(-0.11095348784003181+0.08625491309113212j),(0.13269081269626332+0.857323584224408j),(0.3543186848937734-0.08389785629036942j),(-0.10993672249144064+0.026373859754180388j),(-0.03932383453571317+0.23178385610147112j)
74,(-0.040224150167034345+0j),(0.12051740447756908+0.044729707934878696j),(0.09986074022807959-0.11650425533391615j),(-0.002388601969945059+0.22813677079677153j),(0.3729114471671533+0.11171332975744852j),(-0.30956098392536086+0.13858324413290984j),(0.3661350393159211+0.10602915785613787j),(-0.021383988200167688-0.06725369770443934j)
75,(0.37318288768172375+0j),(-0.06244779007714027+0.06571774679874018j),(0.008250687944848546-0.08914293971901036j),(0.01662367947343489-0.2603476697335624j),(-0.9030098951515945+0.31804836682113985j),(0.15466339001724158-0.10452903754058272j),(-0.20242089626134144-0.06280925996233148j),(0.02338888918204818-0.14230857179785553j)
76,(-0.036888998430866904+0j),(0.09265000794237108+0.0002637265039433963j),(-0.08493902217202899+0.3240855837193166j),(0.2549762246484947+0.044289133330626916j),(-0.5411062059981038-0.18376644438567014j),(-0.183502937452224-0.42253390611211716j),(-0.0025156229824883827+0.11819073616037984j),(0.12214729592486219+0.052415646157211046j)
77,(-0.15325825249907438+0j),(-0.05226705471058924-0.14047358992285136j),(0.07999273735562124+0.2283383006812395j),(0.19563244525986276+0.462553883571556j),(-0.8015819216695842+0.34355786921711456j),(0.18332054855088387+0.2845784277827939j),(-0.03388983541179259+0.03956339547503167j),(0.05122243623073594+0.02041178815702123j)
78,(-0.6155551423586609+0j),(0.16958050441262779+0.10610848362263868j),(-0.05517134923752806+0.09940030116569318j),(0.0557489209142045-0.005886231801678948j),(-0.01620233724250497-0.6530142306812821j),(0.14929506253415778+0.16634822420005832j),(-0.023948052466685202-0.13929204792761496j),(0.07794539258432231+0.07007931413415916j)
79,(0.19255108325068326+0j),(0.1435201800443166-0.12007140876999811j),(0.11133559495113157+0.02459822311565628j),(-0.1156674502875476+0.31295598500571337j),(0.009332167036975425+0.4348808306689887j),(-0.0961630501961751+0.039355410998700074j),(-0.0512028195989519-0.13082631189646196j),(-0.03478069934882793-0.03956796154933948j)
80,(-0.17496891581495613+0j),(0.13293307164479656+0.10451255329967682j),(0.16625493812035141-0.10011620660500117j),(-0.09860578562192793+0.10455606028972415j),(-0.6110511614791826-0.40533119158524533j),(0.507711812202905-0.13857940861263493j),(-0.09817426120945151-0.18592837141689839j),(-0.10444585072391202-0.04984779215864134j)
81,(0.15526869746455668+0j),(-0.11814236395474217+0.10814727441848894j),(0.09039062203051271-0.3317571578076753j),(-0.34136282234886484+0.016869121180189163j),(0.7937859346205813+0.22177891448263445j),(0.46426516145852176+0.3164036477213631j),(-0.009451275596510282+0.0838460705972866j),(0.0203561541547458+0.015523375750456272j)
82,(0.04106330174430306+0j),(0.19357616813664585-0.05007033129360188j),(-0.004720525878344342+0.26803858333249053j),(-0.07535894947192742+0.051851471589566454j),(0.11475854936587285+0.0031261441380094554j),(0.4218881432437921-0.03477732322137814j),(-0.24875184551447688+0.05692895005407318j),(-0.037366641719309854+0.033071870286614964j)
83,(0.486715000412295+0j),(0.07927150402659423+0.004851044354651737j),(-0.07851481549257773-0.1295146028117964j),(-0.07593787932398209+0.1259686918577357j),(0.878107546915085+0.22967706739869054j),(0.07289116924900899-0.1697978638526769j),(0.19757130769133507+0.022498549100777643j),(0.07016408046274779-0.01861043802218929j)
84,(0.100813102527733+0j),(0.010874436766110454-0.04075148078993076j),(0.24893592578380128-0.03096268913750537j),(-0.04054408620507488-0.01576243398294748j),(0.751923992606458+0.5106268364539576j),(-0.2672421662763558+0.0011673058427459707j),(-0.04671838057729637-0.015118039107736597j),(0.009977699145205415-0.22579178304286102j)
85,(0.06380161131284753+0j),(-0.022130966224006527-0.3174927741990363j),(-0.08163487200105998+0.04786474557758938j),(-0.12520725881054826+0.12483258432620896j),(-0.3537678017241339-0.9287722977615869j),(-0.10212504548576348+0.15526056369930014j),(-0.020199008717668575+0.17245677962531414j),(0.0031143806302604132+0.016826290510922402j)
86,(-0.6724850357655955+0j),(0.08544055155833352+0.019993983739940085j),(-0.08148863087627287-0.20154730809602375j),(-0.3518689767976738+0.127055028028121j),(-0.8510012152085525+0.4175589686181245j),(0.39922411711215217+0.08016420800465193j),(0.027354111856127485-0.18469053726853646j),(-0.06832467987672139-0.014853823355477531j)
